,Unnamed: 0,District,Name of Building,End Date of HomeQuarantine
0,1.0,Sha Tin,"Block 1, Sunshine Grove",05/02/2020
1,2.0,Tsuen Wan,"Tower 2, Bellagio",05/02/2020
2,3.0,Sham Shui Po,"Block 44, Shek Kip Mei Estate",05/02/2020
3,4.0,Kowloon City,"Tai Wah Building, 19-21 Nga Tsin LongRoad",05/02/2020
4,5.0,North,"Ching Cheung House, Cheung Lung WaiEstate",05/02/2020
5,6.0,Sham Shui Po,"Tower 3, Manhattan Hill",05/02/2020
6,7.0,Eastern,"Wo Hing House, Hing Wah (2) Estate",05/02/2020
7,8.0,Sham Shui Po,"Larkspur House, So Uk Estate",05/02/2020
8,9.0,Kowloon City,"Block 10, Cherry Mansions, WhampoaGarden (Site2)",06/02/2020
9,10.0,Tai Po,"Block 8, Grand Palisades",06/02/2020
10,11.0,Central & Western,"Sum Way Mansion , Belchers Streetm No.1",06/02/2020
11,12.0,Yuen Long,"Goodview Count, 253 Kam Sheung Road",06/02/2020
12,13.0,Tuen Mun,"Oi Ming House, Yau Oi Estate",06/02/2020
13,14.0,Sai Kung,"Ming Yat House, Kin Ming Estate",06/02/2020
14,15.0,Sai Kung,"Tower 2 (Aster Diamond), the Wings",06/02/2020
15,16.0,Yau Tsim Mong,"Shining Heights, 83 Sycamore Street",06/02/2020
16,17.0,Yau Tsim Mong,"Block 1, The Long Beach",06/02/2020
17,18.0,Wong Tai Sin,"Block 1, Tsui Chuk Garden",06/02/2020
18,19.0,Kwun Tong,"Sing Win Factory Building, 15-17 Shing YipStreet",06/02/2020
19,20.0,Kwun Tong,"Kan Wah House, Lok Wah North Estate",06/02/2020
20,21.0,Kwun Tong,"Lee Foo House , Shun Lee Estate",06/02/2020
21,22.0,Sham Shui Po,"Block 6, Metro Harbour View",06/02/2020
22,23.0,Kowloon City,"Fook Hing House, 44A Fuk Lo Tsun Road",07/02/2020
23,24.0,Kowloon City,"Good Rich Mansion, 7-8 Wa Fung Street",07/02/2020
0,25.0,Central & Western,"Bic Wah Court, 464 Des Voeux Road West",07/02/2020
1,26.0,Central & Western,"Liang Ga Building, 296-302 Des VoeuxRoad West",07/02/2020
2,27.0,Central & Western,"Jockey Club Student Village III, Hong KongUniversity",07/02/2020
3,28.0,Central & Western,"Hang Yue Building, 334-350 Des VoeuxRoad West",07/02/2020
4,29.0,Yuen Long,"Ngau Keng Tsuen, Kam Sheung Road",07/02/2020
5,30.0,Sai Hung,"Tai Po Tsai Village, Clear Water Bay Road",07/02/2020
6,31.0,Sai Kung,"Yee Yan House, Yee Ming Estate",07/02/2020
7,32.0,Sha Tin,"Tsun Chuen House, Shui Chuen O Estate",07/02/2020
8,33.0,Sha Tin,"Block K, Phase 4 Sunshine City",07/02/2020
9,34.0,Sha Tin,"Block 49, City One",07/02/2020
10,35.0,Eastern,"Block C, Sunway Gardens",07/02/2020
11,36.0,Yau Tsim Mong,"Block 2, Eltanin Square Mile",07/02/2020
12,37.0,Southern,"Block A, Ngan On House , Yue On Court",07/02/2020
