,Unnamed: 0,地區,Unnamed: 1,大廈名稱,家居檢疫最後日期
1,1,北區,粉嶺中心 A座,,10/02/2020
2,2,沙田區,富豪花園富儷閣,,10/02/2020
3,3,油尖旺區,弼街 69號,,10/02/2020
4,4,屯門區,新都大廈 A座,,11/02/2020
5,5,元朗區,朗屏邨悅屏樓,,11/02/2020
6,6,深水埗區,汝洲街 259號彩蘭樓,,12/02/2020
7,7,屯門區,蝴蝶邨蝶翎樓,,12/02/2020
8,8,觀塘區,廣田邨廣靖樓,,12/02/2020
9,9,觀塘區,平田邨平誠樓,,13/02/2020
10,10 北區,,莆上村 15號,,13/02/2020
11,11 北區,,牽晴間 11 座,,13/02/2020
12,12 沙田區,,銀禧花園 5座,,13/02/2020
13,13 沙田區,,大圍名城 2 期 5 座,,13/02/2020
14,14 深水埗區,,福華街 206號榮安大廈,,13/02/2020
15,15 元朗區,,嘉湖山莊賞湖居 5座,,13/02/2020
16,16 沙田區,,沙田中心廣寧大廈,,14/02/2020
17,17 黃大仙區,,鳳德村碧鳳樓,,16/02/2020
18,18 葵青區,,葵涌大廈 A座,,18/02/2020
19,19 葵青區,,灝景灣 1座,,19/02/2020
20,20 元朗區,,蝶翠峰 3座,,20/02/2020
21,21 沙田區,,穗禾苑 H座,,22/02/2020
