,地區,大廈名單,"曾有涉及個案最後到訪的日期","相關確診/疑似/個案編號","相關確診/疑似/個案編號"
0,西貢,怡明邨怡情樓,,"58,128",
1,灣仔,安慧苑,,"114,213",
2,南區,碧瑤灣 28座,,"加拿大衞生當局通報的個案及第117,118個案",
3,大埔,富亨邨亨泰樓,,"119,124,140",
4,屯門,兆禧苑安禧閣,,"120,121",
5,沙田,廣林苑茂林閣,,122,
6,荃灣,碧堤半島 7座,,"123,129",
7,觀塘,德福花園 T座,,125,
8,觀塘,麗港城 2期 26座,,"126,127",
9,葵青,iPlace,,"130,131,133,138",
10,中西區,西寧街 35號西寧閣,,132,
11,大埔,林村梧桐寨,,134,
12,中西區,順景雅庭,,135,
13,南區,赤柱大街 18號,,136,
14,灣仔,大坑台 A座,,137,
15,東區,港利中心,,139,
16,西貢,清水灣道 684號,,141,
17,葵青,宏福花園,,142,
18,北區,華明邨禮明樓,,143,
19,西貢,海逸居,,145,
20,東區,堡壘大樓,,146,
21,中西區,加列山道 65號嘉麗園,,"147,148",
22,南區,華富(二)邨華昌樓,,149,
23,油尖旺,唯港薈,,150,
24,油尖旺,重慶大廈 A座,,151,
25,屯門,海典軒 1座,,152,
26,沙田,曉翠山莊 10座,,153,
27,九龍城,鶴齡街 8號,,154,
28,黃大仙,龍蟠苑龍珠閣,,155,
29,中西區,港島香格里拉大酒店,,156,
30,大埔,逸瓏灣 16座,,"157,158",
31,南區,紅山半島,,"160,235",
32,屯門,屯門市廣場 4座,,161,
33,油尖旺,御金‧國峯 7座,,162,
34,中西區,薄扶林道 86號嘉瑜園,,163,
0,黃大仙,彩輝邨彩華樓,,167,
1,灣仔,尚翹峰 2座,,168,
2,東區,香港維港凱悅尚萃酒店,,169,
3,東區,藍灣半島 2座,,170,
4,沙田,富寶花園 8座,,171,
5,沙田,香港體育學院運動員宿舍,,172,
6,黄大仙,慈愛苑愛慧閣,,173,
7,油尖旺,凱帆軒 3座,,"174,222",
8,觀塘,油麗邨盈麗樓,,"175,176",
9,中西區,豪景臺,,"177,178",
10,中西區,地利根德里 3A號,,180,
11,灣仔,金櫻閣,,"181,215",
12,西貢,大網仔路,,182,
13,中西區,羅便臣道 60號信怡閣,,183,
14,南區,碧瑤灣 47座,,184,
15,灣仔,景光街 5號景祥大樓,,185,
16,東區,藍灣半島 1座,,186,
17,深水埗,E 酒店,,190,
18,沙田,新港城 C座,,191,
19,油尖旺,恆裕閣,,192,
20,屯門,香港屯門貝爾特酒店,,193,
21,中西區,康威園,,194,
22,九龍城,行德園,,195,
23,葵青,葵芳邨葵安樓,,196,
24,西貢,廣明苑廣寧閣,,198,
25,油尖旺,金巴利道 26號,,199,
26,油尖旺,帝國酒店,,200,
27,元朗,白沙村,,201,
28,南區,麗景園 4座,,"203,223",
29,沙田,玖瓏山月瓏閣 3座,,204,
30,西貢,日出康城首都 2座,,"205,256",
31,南區,香島道 46號,,206,
32,中西區,曉峯閣 1座,,207,
33,中西區,四方街 20號,,208,
34,油尖旺,K11 ARTUS,,209,
35,灣仔,海華苑 1座,,210,
