,Building name,District,"Last date of visitby any of theinvolved case(s)","Related confirmed /probable cases","Related confirmed / probablecase number"
0,"Block 28, Baguio Villa",Southern,,,"Case notified by the healthauthority of Canada"
1,"Lai Ming House, Wah Ming Estate",North,,,143
2,The Palisades,Sai Kung,,,145
3,Fort Mansion,Eastern,,,146
4,"Kellett View Town Houses, 65 Mount KellettRoad",Central & Western,,,"147, 148"
5,"Wah Cheong House, Wah Fu 2 Estate",Southern,,,149
6,Hotel ICON,Yau Tsim Mong,,,150
7,"Block A, Chungking Mansions",Yau Tsim Mong,,,151
8,"Tower 1, Oceania Heights",Tuen Mun,,,152
9,"Block 10, Pristine Villa",Sha Tin,,,153
10,8 Hok Ling Street,Kowloon City,,,154
11,"Lung Chu House, Lung Poon Court",Wong Tai Sin,,,155
12,Island Shangri-La,Central & Western,,,156
13,"Block 16, Mayfair By The Sea",Tai Po,,,"157, 158"
14,The Redhill Peninsula,Southern,,,"160, 235"
15,"Block 4, Tuen Mun Town Plaza",Tuen Mun,,,161
16,"Tower 7, the Coronation",Yau Tsim Mong,,,162
17,"Emerald Garden, 86 Pok Fu Lam Road",Central & Western,,,163
18,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,,167
19,"Tower 2, the Zenith",Wan Chai,,,168
20,Hyatt Centric Victoria Harbour Hong Kong,Eastern,,,169
21,"Block 2, Island Resort",Eastern,,,170
0,"Block 8, Saddle Ridge Garden",Sha Tin,,,171
1,Hong Kong Sports Institute Athletes' Hostel,Sha Tin,,,172
2,"Oi Wai House, Tsz Oi Court",Wong Tai Sin,,,173
3,"Tower 3, Hampton Place",Yau Tsim Mong,,,"174, 222"
4,"Ying Lai House, Yau Lai Estate",Kwun Tong,,,"175, 176"
5,Rich View Terrace,Central & Western,,,"177, 178"
6,3A Tregunter Path,Central & Western,,,180
7,Sakura Court,Wan Chai,,,"181, 215"
8,Tai Mong Tsai Road,Sai Kung,,,182
9,"Seymour Place,60 Robinson Road",Central & Western,,,183
