,Building name,District,Last date of visitby any of theinvolved case(s),Related confirmed /probable cases,Related confirmed / probablecase number
0,St. Regis Hong Kong,Wan Chai,,,"230, 264"
1,"Hang Tsui Court, Tsui Ying House",Eastern,,,"238, 268"
2,"Yiu Foo House, Tin Yiu Estate",Yuen Long,,,"258, 259"
3,"Block A, Viking Villas",Wan Chai,,,260
4,"Shun On Building, 2 Sands Street",Central & Western,,,261
5,Cheong Shing Court,Kowloon City,,,262
6,"Yam Heng House, Shek Yum Estate",Kwai Tsing,,,263
7,Sakura Court,Wan Chai,,,264
8,"Silvercrest, 24 Macdonnell Road",Central & Western,,,265
9,Repulse Bay Garden,Southern,,,266
10,SOHO 189,Central & Western,,,267
11,"Block Q, Kornhill",Eastern,,,269
12,"Block 23, Phase 1, Mei Foo Sun Cheun",Sham Shui Po,,,270
13,"Tower 12, Caribbean Coast",Island,,,271
14,"Block 4, Prosperous Garden",Yau Tsim Mong,,,272
15,"Block B, Hoi Lam House, Hoi Fu Court",Yau Tsim Mong,,,273
16,Dorsett Kwun Tong,Kwun Tong,,,274
17,"Block 2, Kai Tak Garden",Wong Tai Sin,,,275
18,Hang Shun Mansions,Wan Chai,,,276
19,307 Jaffe Road,Wan Chai,,,277
20,Tagus Residences,Wan Chai,,,278
21,"Woodland Court, Parkvale Village",Islands,,,279
22,Chi Residences 120,Central & Western,,,281
23,208 Hollywood Road,Central & Western,,,282
24,L'Hoel Island South,Southern,,,283
25,"Block 6, Bayshore Towers",Sha Tin,,,284
0,"Tower 7, The Long Beach",Yau Tsim Mong,,,285
1,Pak Kong Au Road,Sai Kung,,,286
2,Indi Home,Tsuen Wan,,,287
3,"On Hoi House, Cheung On Estate",Kwai Tsing,,,287
4,"Block 6, Provident Centre",Eastern,,,288
5,"On Hiu Mansion, Lei King Wan",Eastern,,,289
6,Ovolo Southside,Southern,,,290
7,"Chun Tak House, Lung Tak Court",Southern,,,291
8,Rosedale Hotel Hong Kong,Wan Chai,,,292
9,Monmouth Villa,Wan Chai,,,293
10,"Block 1, City Point",Tsuen Wan,,,295
11,Fanling Wai South,North,,,296
12,Ramada Hong Kong Grand View,Eastern,,,297
13,"Lai Ming House, Wah Ming Estate",North,,,298
14,"Tower 3, Harbour View Horizon Hotel",Kowloon City,,,299
15,Rosedale Hotel Kowloon,Yau Tsim Mong,,,300
16,"Fook Lam House, Kwong Lam Court",Sha Tin,,,301
17,Athlete's Hostel in HK Sports Institues,Sha Tin,,,302
18,Tung Lam Court,Eastern,,,"303, 304"
19,191-193 Shau Kei Wan Road,Eastern,,,306
20,"Tak Shui House, Tak Tin Estate",Kwun Tong,,,308
21,"Celeste Court, Fung Fai Terrace",Wan Chai,,,309
22,Valiant Park,Central & Western,,,310
23,8 Hok Ling Street,Kowloon City,,,311
24,"Kwai Yat House, Kwai Hong Court",Kwai Tsing,,,312
25,Lyton Building,Yau Tsim Mong,,,313
26,"Yee Tai House, Yee Kok Court",Sham Shui Po,,,314
27,Wise Mansion,Central & Western,,,315
28,Le Meridien Cyberport,Southern,,,316
29,Marina Cove,Sai Kung,,,317
30,"Block 4, Aqua 33",Southern,,,318
0,"Block 8, Hee Wong Terrace",Central &Western,,,319
1,The Hillgrove,Tuen Mun,,,320
2,Novotel Citygate Hong Kong,Islands,,,321
3,25 Stafford Road,Kowloon City,,,322
4,"Block 6, Parc Palais",Yau Tsim Mong,,,323
5,Rosedale Hotel Kowloon,Yau Tsim Mong,,,324
6,"Vienna Court, Realty Gardens",Central &Western,,,325
7,"Block D, The Manhattan",Southern,,,326
8,"Tower 1, Hillsborough Court",Central & Western,,,327
9,"Tower 10, the Visionary",Islands,,,328
10,"Block 8, Phase 4, Tai Po Centre",Tai Po,,,332
11,"Kadoorie Avenue Mansion, 207 PrinceEdward Road West",Yau Tsim Mong,,,333
12,Braemar Hill Mansions,Eastern,,,334
13,Best Western Grand Hotel Hong Kong,Yau Tsim Mong,,,335
14,152 Waterloo Road,Kowloon City,,,336
15,Mai Ning Building,Kwai Tsing,,,337
16,"Chau Kwai House, Kwai Chung Estate",Kwai Tsing,,,338
17,"Wah Hei House, Tung Hei Court, Sai Wan Ho",Eastern,,,339
18,"Block 1, Park Mediterranean, Sai Kung",Sai Kung,,,339
19,"Sui Fat House, Siu Sai Wan Estate, Chai Wan",Eastern,,,340
20,"38 Broadwood Road, Happy Valley",Wan Chai,,,341
21,"Tung Yip House, Lei Tung Estate, Ap LeiChau",Southern,,,342
22,"Stayed in Homy Inn, North Point",Eastern,,,342
23,"Island Building, Wan Chai",Wan Chai,,,343
24,"Tower 4, Metro City Phase 1",Sai Kung,,,344
25,"Fairlane Tower, Mid-levels",Central & Western,,,345
26,Po Ming Building,Wan Chai,,,346
27,"Block 7, Villa Athena",Sha Tin,,,347
28,"Block 3, Fullview Garden",Eastern,,,348
29,"Yiu Shun House, Yiu On Estate",Sha Tin,,,349
0,"Block 10, Treasure Spot Palace",Tai Po,,,350
1,"Block 10, Treasure Spot Palace",Tai Po,,,351
2,"Sai Keng Village, Sai Sha Road",Sai Kung,,,352
3,Dorsett Kwun Tong,Kwun Tong,,,353
4,53 Hollywood Road,Central & Western,,,354
5,Block 11 Royal Ascot,Sha Tin,,,Returning from Japan(Diamond Princess cruise)
6,Chester Court,Central & Western,,,Returning from Japan(Diamond Princess cruise)
7,"Kam Shan Mansion, Taikoo Shing",Eastern,,,358
8,Stafford Road,Kowloon City,,,359
9,312 Queen's Road West,Central & Western,,,360
10,Bohemian House,Central & Western,,,361
11,Golden Valley Mansion,Central & Western,,,362
12,"Block C, The Manhattan",Southern,,,363
13,"Jade Heights, Belair Gardens",Sha Tin,,,366
14,Golden Valley Mansion,Central & Western,,,367
15,Four Seasons Hotel Hong Kong,Central & Western,,,"368, 369"
16,1 Ping On Lane,Central & Western,,,370
17,"Mun Wo House, Mun Tung Estate",Islands,,,371
18,"Block 12, South Horizons",Southern,,,372
19,Sing Kong Building,Wan Chai,,,373
20,"Block 25, Baguio Villa",Southern,,,374
21,Wise Mansion,Central & Western,,,375
22,San Uk Ka,Tai Po,,,377
23,Centre Place,Central & Western,,,378
24,1 Oxford Road,Kowloon City,,,379
25,6 Ming Yuen Western Street,Eastern,,,380
26,Marina Cove,Sai Kung,,,381
27,"Block 3, Uptown Plaza",Tai Po,,,383
28,Hang Shun Mansions,Wan Chai,,,384
29,"Kwong Cheong House, Kwong Ming Court",Sai Kung,,,385
0,"Ngan Yuet House, Ngan Wan Estate",Islands,,,386
1,Hang Shun Mansions,Wan Chai,,,387
2,"King Min House, King Lam Estate",Sai Kung,,,388
3,Percival House,Wan Chai,,,389
4,Rosedale Hotel Hong Kong,Wan Chai,,,390
5,1A Fung Fai Terrace,Wan Chai,,,391
6,Tai Long Wan Village,Islands,,,392
7,Hong Lok Road East,Tai Po,,,393
8,Full Shing Building,Yuen Long,,,394
9,"Yonking Garden, Tsing Chuen Wai",Tuen Mun,,,395
10,Auberge Discovery Bay Hong Kong,Islands,,,396
11,"Block 8, Tierra Verde",Kwai Tsing,,,397
12,Dorsett Tsuen Wan,Tsuen Wan,,,398
13,Sun Fung Wai,Tuen Mun,,,399
14,Holiday Inn Golden Mile,Yau Tsim Mong,,,400
15,Holiday Inn Golden Mile,Yau Tsim Mong,,,401
16,Welley Building,Central & Western,,,402
17,"Block A, Park Place",Wan Chai,,,403
18,"Block A, Park Place",Wan Chai,,,404
19,"Tower 16, Laguna Verde",Kowloon City,,,405
20,"Block 2, Stanford Villa",Southern,,,406
21,"Tower 1, Grand Promenade",Eastern,,,407
22,"Lane 12, Liu Pok Tsuen",North,,,408
23,"Tower 6, Island Harbourview",Yau Tsim Mong,,,409
24,52 Conduit Road,Central & Western,,,410
25,San Hui Village,Tuen Mun,,,411
26,Kwun Tong Disciplined Services Quarters,Kwun Tong,,,412
27,"Ping Oi House, Ping Yan Court",Yuen Long,,,413
28,"8 Glee Path, Mei Foo Sun Chuen",Sham Shui Po,,,414
29,Kwun Hei Court,Kowloon City,,,415
30,The Kimberley Hotel,Yau Tsim Mong,,,415
0,Best Western Plus Hotel,Yau Tsim Mong,,,415
1,Nam Wa Po,Tai Po,,,416
2,Blessings Garden,Central & Western,,,417
3,"Block B, Oriental Gardens",Yau Tsim Mong,,,418
4,Metropark Hotel Causeway Bay Hong Kong,Wan Chai,,,419
5,Happy Valley 88,Wan Chai,,,420
6,Sunpeace Court,Yau Tsim Mong,,,421
7,Gold Mine Building,Eastern,,,422
8,Haven Court,Wan Chai,,,423
9,"Tower 6, Caribbean Coast",Islands,,,424
10,19 Lai Chi Kok Road,Yau Tsim Mong,,,428
11,"Block 6, South Horizons, Ap Lei Chau",Southern,,,429
12,"Tower 2, One Silversea",Yau Tsim Mong,,,430
13,"Ching Chak House, Ching Ho Estate",North,,,431
14,"Yee Hing Building, 357 Hennessy Road",Wan Chai,,,432
15,Hang Shun Mansions,Wan Chai,,,432
16,Hang Shun Mansions,Wan Chai,,,433
17,Hang Shun Mansions,Wan Chai,,,434
18,The Harbourview,Central & Western,,,435
19,"Heng Lai House, Tin Heng Estate",Yuen Long,,,436
20,"Tower 5, One Homantin",Kowloon City,,,437
21,St Paul's Terrace,Central & Western,,,438
22,Villa Castell,Tai Po,,,439
23,Hang Shun Mansions,Wan Chai,,,440
24,Rosewood Hong Kong,Yau Tsim Mong,,,441
25,"Cheuk Wah House, Hing Wah (I) Estate",Eastern,,,442
26,Tai Lung House,Eastern,,,444
27,"Tower 6, The Latitude",Wong Tai Sin,,,446
28,"Chiu Man House, Oi Man Estate",Kowloon City,,,447
29,"Tower 6, Nan Fung Plaza",Sai Kung,,,448
30,280 Ki Lung Street,Sham Shui Po,,,450
0,379 Queen's Road Central,Central & Western,,,451
1,8 Mercer Street,Central & Western,,,452
2,18 Eastern Street,Central & Western,,,453
3,"Lee Yip House, Shun Lee Estate",Kwun Tong,,,454
4,Yan Sau Wai,Yuen Long,,,455
5,"Sau Wah House, Sau Mau Ping Estate",Kwun Tong,,,458
6,Shining Heights,Yau Tsim Mong,,,459
7,"Tower 9, Metro City Phase 2",Sai Kung,,,460
8,"Twilight Court, Peninsula Village",Islands,,,461
9,"Block A, Hyde Towers",Kwun Tong,,,462
10,"Block B, Abba House",Southern,,,463
11,Scholastic Garden,Central & Western,,,464
12,8 Kennedy Road,Central & Western,,,465
13,"Block 4, Sun Yuen Long Centre",Yuen Long,,,466
14,"Block A, Elm Tree Towers",Wan Chai,,,467
15,"Block 2, Villas Sorrento",Central & Western,,,468
16,OZO Wesley Hong Kong,Wan Chai,,,469
17,YMCA,Yau Tsim Mong,,,470
18,"Block 2, Sun Tuen Mun Centre",Tuen Mun,,,471
19,"Tower 2, Solaria",Tai Po,,,472
20,392 Reclamation Street,Yau Tsim Mong,,,473
21,The Luxe Manor,Yau Tsim Mong,,,474
22,The Palisades,Sai Kung,,,475
23,57 South Bay Road,Southern,,,476
24,Yick Shing Mansion,Wan Chai,,,477
25,"5B, Wings At Sea, Lohas Park",Sai Kung,,,478
26,"Hoi Tsui Mansion, Riviera Gardens",Tsuen Wan,,,480
27,33 Kam Wa Street,Eastern,,,481
28,Dorsett Kwun Tong,Kwun Tong,,,482
29,Scenery Garden,Sha Tin,,,483
30,"Ching Ming House, Tsz Ching Estate",Wong Tai Sin,,,484
0,L'hotel Island South,Southern,,,485
1,Courtyard by Marriott Hong Kong Sha Tin,Sha Tin,,,486
2,OZO Wesley Hong Kong,Wan Chai,,,487
3,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,,488
4,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,,489
5,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,,490
6,"Block 14, Richland Gardens",Kwun Tong,,,491
7,"Block 8, Tierra Verde",Kwai Tsing,,,492
8,"Block 3, Charming Garden",Yau Tsim Mong,,,493
9,Super Tower,Sham Shui Po,,,494
10,"Hin Yeung House, Hin Keng Estate",Sha Tin,,,495
11,Kam Fung Building,Southern,,,496
12,Willie Court,Yau Tsim Mong,,,497
13,Tsim Sha Tsui Mansion,Yau Tsim Mong,,,498
14,Kensington Plaza,Yau Tsim Mong,,,499
15,"Block 33, Heng Fa Chuen",Eastern,,,500
16,Hang Shun Mansions,Wan Chai,,,501
17,"Block 3, Chelsea Heights",Tuen Mun,,,504
18,"Block 2, Castello",Sha Tin,,,507
19,"Block CD, 142 Pokfulam Road",Southern,,,508
20,Hing Lee Building,Kowloon City,,,509
21,"Wai Sum House, Lung Hang Estate",Sha Tin,,,510
22,"2B, Park Yoho",Yuen Long,,,511
23,Wai Ching Mansion,Yau Tsim Mong,,,512
24,310-312 Hennessy Road,Wan Chai,,,513
25,"Tower 3, Mantin Heights",Kowloon City,,,514
26,"Block A, Hyde Tower",Kwun Tong,,,515
27,Shun Hing Building,Yau Tsim Mong,,,516
28,280 Ki Lung Street,Sham Shui Po,,,517
29,Telford Gardens Block Q2,Kwun Tong,,,518
30,315 Nathan Road,Yau Tsim Mong,,,519
0,"Tower 3, Waterfront",Yau Tsim Mong,,,520
1,"Tower 2, Centrestage",Central & Western,,,522
2,"Tower 2, Centrestage",Central & Western,,,523
3,Ka Yee Building,Wan Chai,,,524
4,238-240 Lockhart Road,Wan Chai,,,525
5,"Luk Kwai House, Kwai Chung Estate",Kwai Tsing,,,526
6,Queen's Cube,Wan Chai,,,528
7,Ocean View Court,Yau Tsim Mong,,,529
8,22 Cheong Lok Street,Yau Tsim Mong,,,531
9,Silka Tsuen Wan Hotel,Kwai Tsing,,,532
10,"Pik Shan House, Shek Pai Wan Estate",Southern,,,533
11,Fok Cheong Building,Eastern,,,534
12,32 Gough Street,Central & Western,,,535
13,Golden Jubilee House,Wan Chai,,,536
14,Ardshiel,Central & Western,,,537
15,Sausalito Tower 6,Sha Tin,,,538
16,"Block E, Kam Ying Court",Sha Tin,,,539
17,Ramada Hong Kong Harbour View Hotel,Central & Western,,,540
18,O Pui Village,Sai Kung,,,541
19,Honiton Building,Central & Western,,,542
20,217 Des Voeux Road West,Central & Western,,,543
21,Felix Villas,Central & Western,,,544
22,Camlux Hotel,Kwun Tong,,,545
23,Healey Building,Yuen Long,,,546
24,Hai Wing Road,North,,,547
25,Euston Court,Central & Western,,,548
26,"Block 2, Blossom Garden",Tuen Mun,,,549
27,30 Fat Kwong Street,Kowloon City,,,550
28,12 Hung Lok Road,Kowloon City,,,551
