,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號,相關確診/疑似/個案編號
0,中西區,羲皇臺 8座,,,319
1,屯門,漣山,,,320
2,離島,諾富特東薈城酒店,,,321
3,九龍城,施他佛道 25號,,,322
4,油尖旺,君頤峰 6座,,,323
5,油尖旺,九龍珀麗酒店,,,324
6,中西區,聯邦花園維也納閣,,,325
7,南區,曼克頓花園 D座,,,326
8,中西區,曉峰閣 1座,,,327
9,離島,昇薈 10座,,,328
10,大埔,大埔中心 4期 8座,,,332
11,油尖旺,太子道西 207號加多利大廈,,,333
12,東區,賽西湖大廈,,,334
13,油尖旺,香港華麗酒店,,,335
14,九龍城,窩打老道 152號,,,336
15,葵青,美寧大廈,,,337
16,葵青,葵涌邨秋葵樓,,,338
17,東區,西灣河東熹苑華熹閣,,,339
18,西貢,西貢逸瓏海匯 1座,,,339
19,東區,柴灣小西灣邨瑞發樓,,,340
20,灣仔,跑馬地樂活道 38號,,,341
21,南區,鴨脷洲利東邨東業樓,,,342
22,東區,北角灝美旅舍,,,342
23,灣仔,灣仔香島大廈,,,343
24,西貢,新都城第一期 4座,,,344
25,中西區,半山寶雲山莊,,,345
26,灣仔,寶明大廈,,,346
27,沙田,雅典居 7座,,,347
0,東區,富景花園 3座,,,348
1,沙田,耀安邨耀遜樓,,,349
2,大埔,江庫雅苑 10座,,,350
3,大埔,江庫雅苑 10座,,,351
4,西貢,西沙路西徑村,,,352
5,觀塘,觀塘帝盛酒店,,,353
6,中西區,荷李活道 53號,,,354
7,沙田,駿景園 11座,,,從日本回港(鑽石公主號)
8,中西區,澤安閣,,,從日本回港(鑽石公主號)
9,東區,太古城金山閣,,,358
10,九龍城,施他佛道,,,359
11,中西區,皇后大道西 312號,,,360
12,中西區,瑧璈,,,361
13,中西區,金谷大廈,,,362
14,南區,曼克頓花園 C座,,,363
15,沙田,富豪花園翡翠閣,,,366
16,中西區,金谷大廈,,,367
17,中西區,香港四季酒店,,,"368,369"
18,中西區,平安里 1號,,,370
19,離島,滿東邨滿和樓,,,371
20,南區,海怡半島 12座,,,372
21,灣仔,星港大廈,,,373
22,南區,碧瑤灣 25座,,,374
23,中西區,威勝大廈,,,375
24,大埔,新屋家,,,377
25,中西區,匯賢居,,,378
26,九龍城,牛津道 1號,,,379
27,東區,明園西街 6號,,,380
28,西貢,匡湖居,,,381
29,大埔,新達廣場 3座,,,383
30,灣仔,恆信大廈,,,384
31,西貢,廣明苑廣昌閣,,,385
32,離島,銀灣邨銀月樓,,,386
0,灣仔,恆信大廈,,,387
1,西貢,景林邨景棉樓,,,388
2,灣仔,波斯富大廈,,,389
3,灣仔,香港珀麗酒店,,,390
4,灣仔,鳳輝臺 1A號,,,391
5,離島,大浪灣村,,,392
6,大埔,康樂東路,,,393
7,元朗,富盛大廈,,,394
8,屯門,青磚圍雍景園,,,395
9,離島,香港愉景灣酒店,,,396
10,葵青,盈翠半島 8座,,,397
11,荃灣,荃灣帝盛酒店,,,398
12,屯門,順風圍,,,399
13,油尖旺,香港金域假日酒店,,,400
14,油尖旺,香港金域假日酒店,,,401
15,中西區,威利大廈,,,402
16,灣仔,雅栢苑 A座,,,403
17,灣仔,雅栢苑 A座,,,404
18,九龍城,海逸豪園 16座,,,405
19,南區,旭逸居 2座,,,406
20,東區,嘉亨灣 1座,,,407
21,北區,料壆村 12巷,,,408
22,油尖旺,維港灣 6座,,,409
23,中西區,半山干德道 52號,,,410
24,屯門,屯門新墟村,,,411
25,觀塘,觀塘紀律部隊宿舍,,,412
26,元朗,屏欣苑屏愛閣,,,413
27,深水埗,美孚新邨吉利徑 8號,,,414
28,九龍城,冠熹苑,,,415
29,油尖旺,尖沙咀君怡酒店,,,415
30,油尖旺,最佳盛品酒店,,,415
31,大埔,南華莆,,,416
32,中西區,殷樺花園,,,417
0,油尖旺,東方花園 B座,,,418
1,灣仔,香港銅鑼灣維景酒店,,,419
2,灣仔,Happy Valley 88,,,420
3,油尖旺,日和閣,,,421
4,東區,金源洋樓,,,422
5,灣仔,希雲大廈,,,423
6,離島,映灣園 6座,,,424
7,油尖旺,荔枝角道 19號,,,428
8,南區,鴨脷洲海怡半島 6座,,,429
9,油尖旺,一號銀海 2座,,,430
10,北區,清河邨清澤樓,,,431
11,灣仔,軒尼詩道 357號宜興樓,,,432
12,灣仔,恆信大廈,,,432
13,灣仔,恆信大廈,,,433
14,灣仔,恆信大廈,,,434
15,中西區,港景別墅,,,435
16,元朗,天恒邨恒麗樓,,,436
17,九龍城,One Homantin 5座,,,437
18,中西區,菁英臺,,,438
19,大埔,新翠山莊,,,439
20,灣仔,恆信大廈,,,440
21,油尖旺,香港瑰麗酒店,,,441
22,東區,興華(一)邨卓華樓,,,442
23,東區,太隆樓,,,444
24,黃大仙,譽港灣 6座,,,446
25,九龍城,愛民邨昭民樓,,,447
26,西貢,南豐廣場 6座,,,448
27,深水埗,基隆街 280號,,,450
28,中西區,皇后大道中 379號,,,451
29,中西區,孖沙街 8號,,,452
30,中西區,東街 18號,,,453
31,觀塘,順利邨利業樓,,,454
32,元朗,仁壽圍,,,455
0,觀塘,秀茂坪邨秀華樓,,,458
1,油尖旺,亮賢居,,,459
2,西貢,新都城第二期九座,,,460
3,離島,蘅峰曦欣閣,,,461
4,觀塘,凱德大廈 A座,,,462
5,南區,福群大樓 B座,,,463
6,中西區,俊傑花園,,,464
7,中西區,堅尼地道 8號,,,465
8,元朗,新元朗中心第 4座,,,466
9,灣仔,愉富大廈 A座,,,467
10,中西區,御海園 2座,,,468
11,灣仔,香港遨舍衛蘭軒,,,469
12,油尖旺,香港基督教青年會,,,470
13,屯門,新屯門中心 2座,,,471
14,大埔,嘉熙 2座,,,472
15,油尖旺,新填地街 392號,,,473
16,油尖旺,帝樂文娜公館,,,474
17,西貢,海逸居,,,475
18,南區,南灣道 57號,,,476
19,灣仔,益誠樓,,,477
20,西貢,日出康城晉海 5B,,,478
21,荃灣,海濱花園海翠閣,,,480
22,東區,金華街 33號,,,481
23,觀塘,觀塘帝盛酒店,,,482
24,沙田,豐景花園,,,483
25,黃大仙,慈正邨正明樓,,,484
26,南區,如心南灣海景酒店,,,485
27,沙田,香港沙田萬怡酒店,,,486
28,灣仔,香港遨舍衛蘭軒,,,487
29,觀塘,曉麗苑曉天閣,,,488
30,觀塘,曉麗苑曉天閣,,,489
31,元朗,嘉湖山莊樂湖居 4座,,,490
32,觀塘,麗晶花園 14座,,,491
0,葵青,盈翠半島 8座,,,492
1,油尖旺,富榮花園 3座,,,493
2,深水埗,高雲閣,,,494
3,沙田,顯徑邨顯揚樓,,,495
4,南區,金豐大廈,,,496
5,油尖旺,偉利閣,,,497
6,油尖旺,華源大廈,,,498
7,油尖旺,金威廣場,,,499
8,東區,杏花邨 33座,,,500
9,灣仔,恆信大廈,,,501
10,屯門,卓爾居 3座,,,504
11,沙田,帝堡城 2座,,,507
12,南區,薄扶林道 142號 CD座,,,508
13,九龍城,興利大廈,,,509
14,沙田,隆亨邨慧心樓,,,510
15,元朗,峻巒 2B,,,511
16,油尖旺,偉成大廈,,,512
17,灣仔,軒尼詩道 310至 312號,,,513
18,九龍城,皓畋三座,,,514
19,觀塘,凱德大廈 A座,,,515
20,油尖旺,渡船街 319號順興大廈,,,516
21,深水埗,基隆街 280號,,,517
22,觀塘,德福花園 Q2座,,,518
23,油尖旺,彌敦道 315號,,,519
24,油尖旺,漾日居 3座,,,520
25,中西區,聚賢居 2座,,,522
26,中西區,聚賢居 2座,,,523
27,灣仔,嘉易大廈,,,524
28,灣仔,駱克道 238-240號,,,525
29,葵青,葵涌邨綠葵樓,,,526
30,灣仔,驊宅,,,528
31,油尖旺,海景大廈,,,529
32,油尖旺,長樂街 22號,,,531
0,葵青,荃灣絲麗酒店,,,532
1,南區,石排灣邨碧山樓,,,533
2,東區,福昌樓,,,534
3,中西區,歌賦街 32號,,,535
4,灣仔,金禧大廈,,,536
5,中西區,Ardshiel,,,537
6,沙田,嵐岸 6座,,,538
7,沙田,錦英苑 E座,,,539
8,中西區,香港華美達海景酒店,,,540
9,西貢,澳貝村,,,541
10,中西區,漢寧大廈,,,542
11,中西區,德輔道西 217號,,,543
12,中西區,福利別墅,,,544
13,觀塘,君立酒店,,,545
14,元朗,喜利大廈,,,546
15,北區,凱榮路,,,547
16,中西區,豫苑,,,548
17,屯門,寶怡花園 2座,,,549
18,九龍城,佛光街 30號,,,550
19,九龍城,紅樂道 12號,,,551
20,大埔,下坑村,,,552
21,東區,和富中心 1座,,,553
22,油尖旺,旺角智選假日酒店,,,554
23,中西區,輝鴻閣,,,555
24,中西區,華麗都會酒店,,,556
25,灣仔,灣仔帝盛酒店,,,557
26,沙田,玖瓏山,,,558
27,九龍城,大夫第 A座,,,559
28,中西區,香港華美達海景酒店,,,560
29,屯門,海典軒,,,561
30,西貢,富康花園 4座,,,562
31,中西區,輝煌臺,,,563
32,中西區,學士臺 2座,,,564
0,沙田,帝堡城 2座,,,565
1,中西區,列堤頓道 32號,,,566
2,油尖旺,基隆街 101號,,,567
3,東區,杏花邨 41座,,,568
4,西貢,日出康城領凱 10座,,,569
5,黃大仙,星河名居 E座,,,570
6,南區,松苑,,,571
7,觀塘,康利苑 1座,,,572
8,沙田,盛薈 5座,,,573
9,西貢,怡明邨怡茵樓,,,574
10,中西區,堅尼地道 48號,,,575
11,中西區,金谷大廈,,,576
12,中西區,金谷大廈,,,577
13,中西區,金谷大廈,,,578
14,中西區,金谷大廈,,,579
15,屯門,大興邨興盛樓,,,580
16,屯門,兆畦苑兆富閣,,,581
17,東區,和富中心 4座,,,583
18,中西區,敦皓,,,584
19,灣仔,永德大廈 B座,,,585
20,油尖旺,帝柏海灣 1座,,,586
21,北區,崗下村,,,587
22,北區,崗下村,,,588
23,灣仔,柏寧酒店,,,589
24,觀塘,康利苑 1座,,,590
25,觀塘,滙景花園 1座,,,591
26,灣仔,維多利中心 3座,,,592
27,元朗,Grand Yoho 10座,,,593
28,油尖旺,晉逸精品酒店,,,594
29,離島,嘉暉花園,,,595
30,元朗,嘉湖山莊翠湖居 1座,,,596
31,觀塘,觀塘帝盛酒店,,,597
32,沙田,沙田第一城 8座,,,598
0,北區,祥華邨祥德樓,,,599
1,西貢,日出康城領峯 7座,,,600
2,灣仔,香港諾富特世紀酒店,,,601
3,油尖旺,尖沙咀擎天半島 3座,,,602
4,九龍城,啟德 1號(I)1座,,,603
5,油尖旺,華麗酒店,,,604
6,中西區,宏基國際賓館,,,605
7,灣仔,肇明大廈,,,606
8,荃灣,海雲軒 2座,,,607
9,元朗,錦繡花園,,,608
10,九龍城,冠熹苑,,,609
11,沙田,隔田村,,,610
12,油尖旺,亞皆老街 4號,,,611
13,灣仔,愉富大廈 A座,,,612
14,灣仔,愉富大廈 A座,,,613
15,東區,佳翠苑耀翠閣,,,614
16,元朗,黃泥墩村,,,615
17,南區,美景臺 AB座,,,616
18,九龍城,達運閣 C座,,,617
19,中西區,永華大廈,,,618
20,大埔,明雅苑明欣閣,,,619
21,大埔,明雅苑明欣閣,,,620
22,灣仔,禮頓山 8座,,,621
23,灣仔,愉富大廈 A座,,,622
24,離島,東涌東環 1A座,,,623
25,葵青,盈翠半島 3A座,,,624
26,大埔,馬牯纜村,,,625
27,灣仔,恆信大廈,,,626
28,中西區,皇后大道西 484-496號新安大樓,,,627
29,東區,新翠花園 2座,,,628
30,深水埗,石硤尾邨美笙樓,,,629
31,灣仔,恆信大廈,,,630
32,中西區,雍景臺 2座,,,631
0,屯門,兆畦苑兆富閣,,,632
1,元朗,金閣豪園 6座,,,633
2,九龍城,加多利大廈,,,634
3,觀塘,寶達邨達喜樓,,,637
4,大埔,寶康大廈,,,638
5,觀塘,樂華北邨勤華樓,,,639
6,中西區,敦皓,,,640
7,離島,逸泰居,,,641
