,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,Block 11 Royal Ascot,Sha Tin,,Returning from Japan (Diamond Princess cruise),
1,Chester Court,Central & Western,,Returning from Japan (Diamond Princess cruise),
2,"Kam Shan Mansion, Taikoo Shing",Eastern,,358,
3,Stafford Road,Kowloon City,,359,
4,312 Queen’s Road West,Central & Western,,360,
5,Bohemian House,Central & Western,,361,
6,Golden Valley Mansion,Central & Western,,362,
7,"Block C, The Manhattan",Southern,,363,
8,"Jade Heights, Belair Gardens",Sha Tin,,366,
9,Golden Valley Mansion,Central & Western,,367,
10,Four Seasons Hotel Hong Kong,Central & Western,,"368, 369",
11,1 Ping On Lane,Central & Western,,370,
12,"Mun Wo House, Mun Tung Estate",Islands,,371,
13,"Block 12, South Horizons",Southern,,372,
14,Sing Kong Building,Wan Chai,,373,
15,"Block 25, Baguio Villa",Southern,,374,
16,Wise Mansion,Central & Western,,375,
17,San Uk Ka,Tai Po,,377,
18,Centre Place,Central & Western,,378,
19,1 Oxford Road,Kowloon City,,379,
20,6 Ming Yuen Western Street,Eastern,,380,
21,Marina Cove,Sai Kung,,381,
22,"Block 3, Uptown Plaza",Tai Po,,383,
23,Hang Shun Mansions,Wan Chai,,384,
24,"Kwong Cheong House, Kwong Ming Court",Sai Kung,,385,
25,"Ngan Yuet House, Ngan Wan Estate",Islands,,386,
26,Hang Shun Mansions,Wan Chai,,387,
27,"King Min House, King Lam Estate",Sai Kung,,388,
28,Percival House,Wan Chai,,389,
29,Rosedale Hotel Hong Kong,Wan Chai,,390,
30,1A Fung Fai Terrace,Wan Chai,,391,
31,Tai Long Wan Village,Islands,,392,
32,Hong Lok Road East,Tai Po,,393,
33,Full Shing Building,Yuen Long,,394,
34,"Yonking Garden, Tsing Chuen Wai",Tuen Mun,,395,
35,Auberge Discovery Bay Hong Kong,Islands,,396,
36,"Block 8, Tierra Verde",Kwai Tsing,,397,
37,Dorsett Tsuen Wan,Kwai Tsing,,398,
38,Sun Fung Wai,Tuen Mun,,399,
39,Holiday Inn Golden Mile,Yau Tsim Mong,,400,
40,Holiday Inn Golden Mile,Yau Tsim Mong,,401,
41,Welley Building,Central & Western,,402,
42,"Block A, Park Place",Wan Chai,,403,
43,"Block A, Park Place",Wan Chai,,404,
44,"Tower 16, Laguna Verde",Kowloon City,,405,
45,"Block 2, Stanford Villa",Southern,,406,
46,"Tower 1, Grand Promenade",Eastern,,407,
47,"Lane 12, Liu Pok Tsuen",North,,408,
48,"Tower 6, Island Harbourview",Yau Tsim Mong,,409,
49,52 Conduit Road,Central & Western,,410,
50,San Hui Village,Tuen Mun,,411,
51,Kwun Tong Disciplined Services Quarters,Kwun Tong,,412,
52,"Ping Oi House, Ping Yan Court",Yuen Long,,413,
53,"8 Glee Path, Mei Foo Sun Chuen",Sham Shui Po,,414,
54,Kwun Hei Court,Kowloon City,,415,
55,The Kimberley Hotel,Yau Tsim Mong,,415,
56,Best Western Plus Hotel,Yau Tsim Mong,,415,
57,Nam Wa Po,Tai Po,,416,
58,Blessings Garden,Central & Western,,417,
59,"Block B, Oriental Gardens",Yau Tsim Mong,,418,
60,Metropark Hotel Causeway Bay Hong Kong,Wan Chai,,419,
61,Happy Valley 88,Wan Chai,,420,
62,Sunpeace Court,Yau Tsim Mong,,421,
63,Gold Mine Building,Eastern,,422,
64,Haven Court,Wan Chai,,423,
65,"Tower 6, Caribbean Coast",Islands,,424,
66,19 Lai Chi Kok Road,Yau Tsim Mong,,428,
67,"Block 6, South Horizons, Ap Lei Chau",Southern,,429,
68,"Tower 2, One Silversea",Yau Tsim Mong,,430,
69,"Ching Chak House, Ching Ho Estate",North,,431,
70,"Yee Hing Building, 357 Hennessy Road",Wan Chai,,432,
71,Hang Shun Mansions,Wan Chai,,432,
72,Hang Shun Mansions,Wan Chai,,433,
73,Hang Shun Mansions,Wan Chai,,434,
74,The Harbourview,Central & Western,,435,
75,"Heng Lai House, Tin Heng Estate",Yuen Long,,436,
76,"Tower 5, One Homantin",Kowloon City,,437,
77,St Paul’s Terrace,Central & Western,,438,
78,Villa Castell,Tai Po,,439,
79,Hang Shun Mansions,Wan Chai,,440,
80,Rosewood Hong Kong,Yau Tsim Mong,,441,
81,"Cheuk Wah House, Hing Wah (I) Estate",Eastern,,442,
82,Tai Lung House,Eastern,,444,
83,"Tower 6, The Latitude",Wong Tai Sin,,446,
84,"Chiu Man House, Oi Man Estate",Kowloon City,,447,
85,"Tower 6, Nan Fung Plaza",Sai Kung,,448,
86,280 Ki Lung Street,Sham Shui Po,,450,
87,379 Queen’s Road Central,Central & Western,,451,
88,8 Mercer Street,Central & Western,,452,
89,18 Eastern Street,Central & Western,,453,
90,"Lee Yip House, Shun Lee Estate",Kwun Tong,,454,
91,Yan Sau Wai,Yuen Long,,455,
92,"Sau Wah House, Sau Mau Ping Estate",Kwun Tong,,458,
93,Shining Heights,Yau Tsim Mong,,459,
94,"Tower 9, Metro City Phase 2",Sai Kung,,460,
95,"Twilight Court, Peninsula Village",Islands,,461,
96,"Block A, Hyde Towers",Kwun Tong,,462,
97,"Block B, Abba House",Southern,,463,
98,Scholastic Garden,Central & Western,,464,
99,8 Kennedy Road,Central & Western,,465,
100,"Block 4, Sun Yuen Long Centre",Yuen Long,,466,
101,"Block A, Elm Tree Towers",Wan Chai,,467,
102,"Block 2, Villas Sorrento",Central & Western,,468,
103,OZO Wesley Hong Kong,Wan Chai,,469,
104,YMCA,Yau Tsim Mong,,470,
105,"Block 2, Sun Tuen Mun Centre",Tuen Mun,,471,
106,"Tower 2, Solaria",Tai Po,,472,
107,392 Reclamation Street,Yau Tsim Mong,,473,
108,The Luxe Manor,Yau Tsim Mong,,474,
109,The Palisades,Sai Kung,,475,
110,57 South Bay Road,Southern,,476,
111,Yick Shing Mansion,Wan Chai,,477,
112,"5B, Wings At Sea, Lohas Park",Sai Kung,,478,
113,"Hoi Tsui Mansion, Riviera Gardens",Tsuen Wan,,480,
114,33 Kam Wa Street,Eastern,,481,
115,Dorsett Kwun Tong,Kwun Tong,,482,
116,Scenery Garden,Sha Tin,,483,
117,"Ching Ming House, Tsz Ching Estate",Wong Tai Sin,,484,
118,L’ Hotel Island South,Southern,,485,
119,Courtyard by Marriott Hong Kong Sha Tin,Sha Tin,,486,
120,OZO Wesley Hong Kong,Wan Chai,,487,
121,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,488,
122,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,489,
123,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,490,
124,"Block 14, Richland Gardens",Kwun Tong,,491,
125,"Block 8, Tierra Verde",Kwai Tsing,,492,
126,"Block 3, Charming Garden",Yau Tsim Mong,,493,
