,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號
0,中西區,普頓臺,847,
1,葵青,葵涌邨秋葵樓,848,
2,灣仔,駱克道 292 號,849,
3,離島,愉景灣海燕徑,850,
4,九龍城,One Homantin 2 座,851,
5,中西區,香港華大盛品酒店,852,
6,灣仔,龍濤苑 1座,853,
7,觀塘,高翔苑高鳳閣,854,
8,北區,軍地簡頭村,855,
9,元朗,水邊圍邨泉水樓,856,
10,灣仔,騰黃閣,857,
11,北區,龍豐花園 B座,858,
12,北區,龍豐花園 B座,859,
13,北區,龍豐花園 B座,860,
14,九龍城,豪門,862,
15,西貢,尚德邨尚仁樓,863,
16,中西區,玫瑰別墅,865,
17,中西區,宏基國際賓館,866,
18,葵青,荃灣帝盛酒店,867,
19,沙田,美城苑暉城閣,868,
20,灣仔,翠谷樓,869,
21,大埔,企嶺下新圍,870,
22,葵青,荃灣絲麗酒店,871,
23,屯門,兆山苑杏景閣,872,
24,中西區,寶德臺,873,
25,灣仔,灣仔帝盛酒店,874,
26,油尖旺,金堂大廈,875,
27,元朗,嘉湖山莊樂湖居 4座,876,
28,離島,觀港樓,878,
29,觀塘,麗港城 4座,879,
30,灣仔,Tagus Residences,881,
31,西貢,企壁山,882,
32,灣仔,藍塘別墅,883,
33,觀塘,彩德邨彩誠樓,884,
34,中西區,滿峯台 B座,885,
35,東區,華美達盛景酒店,886,
36,屯門,錦發大廈,887,
37,九龍城,都會軒 2座,888,
38,南區,下碧瑤灣 33座,889,
39,沙田,翠湖花園 C座,890,
40,九龍城,東禧閣,891,
41,灣仔,柏寧酒店,892,
42,元朗,加州花園(1 期 C)偉仕居紫蘭徑,893,
43,中西區,寶德臺,894,
44,九龍城,金城大廈,895,
45,沙田,名城 2期 1座,896,
46,中西區,縉城峰 2座,897,
47,北區,下山雞乙,898,
48,中西區,Lexington Hill,899,
49,中西區,雍景臺,900,
50,灣仔,永富苑,901,
51,元朗,仁壽圍,902,
52,西貢,寶盈花園 7座,903,
53,屯門,新墟村,905,
54,九龍城,愛民邨昭民樓,912,
55,九龍城,愛民邨昭民樓,913,
56,觀塘,高翔苑高靜閣,914,
57,九龍城,北帝街 123 號,915,
58,油尖旺,香港旺角智選假日酒店,廣東省衞健委通報的個案,
59,中西區,弓絃巷 40-42 號,916,
60,南區,海怡半島 4座,917,
61,油尖旺,美麗都大廈福建酒店,918,
62,西貢,茅莆路,919,
63,灣仔,灣仔帝盛酒店,920,
64,油尖旺,瓏璽 6B座,921,
65,元朗,錦田吉慶圍,922,
66,沙田,湖景花園 (洋房區),923,
67,觀塘,秀茂坪邨秀緻樓,924,
68,九龍城,九龍城德朗邨德璋樓,925,
69,元朗,天澤邨澤輝樓,926,
70,葵青,葵涌邨綠葵樓,928,
71,灣仔,益誠樓,929,
72,東區,華裕閣,932,
73,油尖旺,廟街 109 號,933,
74,元朗,錦綉花園 C段 5街,934,
75,南區,舂坎角道,935,
76,沙田,顯徑邨顯貴樓,936,
77,油尖旺,旺角帝盛酒店,廣東省衞健委通報的個案,
78,中西區,香港萬怡酒店,,
79,灣仔,嘉薈軒,937,
80,中西區,德輔道西 288 號,938,
81,西貢,坑口村,939,
82,西貢,早禾居,940,
83,荃灣,豪景花園 2座,943,
84,屯門,富泰村健泰樓,944,
85,北區,海禧華庭 2座,945,
86,離島,藍天海岸 6座,946,
87,中西區,明珠台 D座,947,
88,灣仔,柏寧酒店,948,
