,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似個案編號
0,油尖旺,樂芬大廈,,1204
1,沙田,美田邨美秀樓,,1205
2,沙田,美田邨美秀樓,,1206
3,沙田,美田邨美秀樓,,1233
4,灣仔,銅鑼灣利景酒店,,1250
5,中西區,壹棠酒店及服務式公寓,,1251
6,離島,昇薈 10座,,1252
7,油尖旺,漾日居 2座,,1254
8,深水埗,鴻裕大廈 B座,,1263
9,九龍城,榮光街 86號,,1263
10,觀塘,坪石邨玉石樓,,1269
11,油尖旺,Grand Austin 2座,,1276
12,北區,御林皇府,,1276
13,油尖旺,福祥樓,,1283
14,葵青,荃灣帝盛酒店,,內地當局通報的 9宗個案
15,觀塘,安達邨禮達樓,,1289
16,黃大仙,彩輝邨彩華樓,,1291
17,沙田,禾輋邨德和樓,,1292
18,沙田,禾輋邨美和樓,,1293
19,沙田,水泉澳邨明泉樓,,1294
20,黃大仙,彩輝邨彩華樓,,1295
21,屯門,兆隆苑,,1296
22,油尖旺,橡樹街 39A號櫻桃大廈,,1297
23,黃大仙,毓華里 8號永發大廈,,1298
24,葵青,荃灣帝盛酒店,,1299
25,葵青,荃灣帝盛酒店,,1300
26,沙田,大圍街市,24/06/2020,1233
27,深水埗,西九龍中心,24/06/2020,"1233, 1263"
28,沙田,美田邨購物商場,25/06/2020,1233
29,深水埗,長沙灣保安道街市,25/06/2020,1263
30,深水埗,順寧道 283號順寧苑,25/06/2020,1263
31,觀塘,匯景商場,26/06/2020,1233
32,油尖旺,新光商業大廈,26/06/2020,1283
33,觀塘,安達商場北翼,26/06/2020,1289
34,沙田,新城市廣場,26/06/2020,1292
35,九龍城,聯合道 38號,27/06/2020,1296
36,油尖旺,H8,28/06/2020,1292
37,九龍城,黃埔花園第 11期聚寶坊,28/06/2020,1296
38,深水埗,李鄭屋商場,29/06/2020,1289
39,屯門,香港內河碼頭,30/06/2020,1269
40,油尖旺,新填地街 13號,30/06/2020,1283
41,九龍城,九龍醫院 醫管局資訊大樓,02/07/2020,1292
42,東區,丹拿花園 第 3 座,02/07/2020,1296
43,油尖旺,亞太中心,03/07/2020,1252
44,深水埗,青山道 261號,03/07/2020,1263
45,離島,香港迪士尼樂園酒店,03/07/2020,1292
46,深水埗,欽州街 60號,04/07/2020,1263
47,沙田,馬鞍山廣場,04/07/2020,1292
48,油尖旺,朗豪坊,04/07/2020,1297
49,觀塘,坪石邨玉石樓,04/07/2020,"1269, 1283, 1291, 1297"
50,黃大仙,彩雲商場,04/07/2020,"1291, 1295"
51,油尖旺,文英街 26-28號,05/07/2020,1289
52,沙田,瀝源商場,05/07/2020,1293
53,沙田,新城市廣場,05/07/2020,1294
54,沙田,大圍道 13號,05/07/2020,1294
55,沙田,京瑞廣場 1期,06/07/2020,1293
56,沙田,水泉澳廣場,06/07/2020,1294
57,黃大仙,中華基督教會扶輪中學,06/07/2020,1295
