,地區,大廈名單,曾有涉及個案最後到訪的日期/報告日期,相關確診/疑似個案編號
0,油尖旺,樂芬大廈,,1204
1,沙田,美田邨美秀樓,,1205
2,沙田,美田邨美秀樓,,1206
3,沙田,美田邨美秀樓,,1233
4,灣仔,銅鑼灣利景酒店,,1250
5,中西區,壹棠酒店及服務式公寓,,1251
6,離島,昇薈 10座,,1252
7,油尖旺,漾日居 2座,,1254
8,深水埗,鴻裕大廈 B座,,1263
9,九龍城,榮光街 86號,,1263
10,觀塘,坪石邨玉石樓,,1269
11,油尖旺,Grand Austin 2座,,1276
12,北區,御林皇府,,1276
13,油尖旺,福祥樓,,1283
14,葵青,荃灣帝盛酒店,,內地當局通報的 9宗個案
15,觀塘,安達邨禮達樓,,1289
16,黃大仙,彩輝邨彩華樓,,1291
17,沙田,禾輋邨德和樓,,1292
18,沙田,禾輋邨美和樓,,1293
19,沙田,水泉澳邨明泉樓,,1294
20,黃大仙,彩輝邨彩華樓,,1295
21,屯門,兆隆苑,,1296
22,油尖旺,橡樹街 39A號櫻桃大廈,,1297
23,油尖旺,凱帆軒第 3座,,1297
24,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1298
25,葵青,荃灣帝盛酒店,,1299
26,葵青,荃灣帝盛酒店,,1300
27,黃大仙,竹園南邨麗園樓,,1301
28,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1302
29,黃大仙,彩輝邨彩華樓,,1304
30,觀塘,坪石邨玉石樓,,1305
31,黃大仙,慈正邨正遠樓,,1306
32,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1307
33,葵青,荃灣帝盛酒店,,1309
34,黃大仙,慈華里 5號,,1310
35,黃大仙,萬年戲院大廈,,1311
36,黃大仙,高美樓 A座,,1312
37,荃灣,灣景花園 1座,,1313
38,油尖旺,海富苑海韻閣,,1314
39,黃大仙,鳳德邨碧鳳樓,,1315
