,District,BuildingName,LastDate/ReportingDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,"Mei Sau House, Mei Tin Estate",Sha Tin,,1205
1,"Mei Sau House, Mei Tin Estate",Sha Tin,,1206
2,"Mei Sau House, Mei Tin Estate",Sha Tin,,1233
3,The Charterhouse Causeway Bay,Wan Chai,,1250
4,CM+ Hotels and Serviced Apartments,Central & Western,,1251
5,"Tower 10, The Visionary",Islands,,1252
6,"Tower 2, The Waterfront",Yau Tsim Mong,,1254
7,"Block B, Hung Yu Mansion",Sham Shui Po,,1263
8,86 Wing Kwong Street,Kowloon City,,1263
9,"Yuk Shek House, Ping Shek Estate",Kwun Tong,,1269
10,Grand Austin Block 2,Yau Tsim Mong,,1276
11,The Royal Oaks,North,,1276
12,Fook Cheung Building,Yau Tsim Mong,,1283
13,Dorsett Tsuen Wan,Kwai Tsing,,9 cases notified by the Mainland authority
14,"Lai Tat House, On Tat Estate",Kwun Tong,,1289
15,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1291
16,"Tak Wo House, Wo Che Estate",Sha Tin,,1292
17,"Mei Wo House, Wo Che Estate",Sha Tin,,1293
18,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1294
19,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1295
20,Siu Lung Court,Tuen Mun,,1296
21,"Cherry Mansion, 39A Oak Street",Yau Tsim Mong,,1297
22,Block 3 Hampton Place,Yau Tsim Mong,,1297
23,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1298
24,Dorsett Tsuen Wan,Kwai Tsing,,1299
25,Dorsett Tsuen Wan,Kwai Tsing,,1300
26,"Lai Yuen House, Chuk Yuen South Estate",Wong Tai Sin,,1301
27,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1302
28,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1304
29,"Yuk Shek House, Ping Shek Estate",Kwun Tong,,1305
30,"Ching Yuen House, Tsz Ching Estate",Wong Tai Sin,,1306
31,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1307
32,Dorsett Tsuen Wan,Kwai Tsing,,1309
33,5 Tsz Wah Lane,Wong Tai Sin,,1310
34,Manning Theatre Building,Wong Tai Sin,,1311
35,"Block A, Gomme House",Wong Tai Sin,,1312
36,"Block 1, Bayview Garden",Tsuen Wan,,1313
37,"Hoi Wen House , Hoi Fu Court",Yau Tsim Mong,,1314
38,"Pik Fung House, Fung Tak Estate",Wong Tai Sin,,1315
39,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1316
40,"Block 10, Kwai Shing West Estate",Kwai Tsing,,1317
41,"Tower 3, Leighton Hill",Wan Chai,,1319
42,Panda Hotel,Tsuen Wan,,1320
43,"Choi Foon House, Choi Fook Estate",Kwun Tong,,1321
44,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1322
45,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1323
46,"Kwai Hei House, Kwai Fong Estate",Kwai Tsing,,1324
47,Crowne Plaza Hong Kong Causeway Bay,Wan Chai,,1325
48,Crowne Plaza Hong Kong Causeway Bay,Wan Chai,,1326
49,"On Chung House, Shun On Estate",Kwun Tong,,1329
50,"Pik Fung House, Fung Tak Estate",Wong Tai Sin,,1331
51,"Pik Fung House, Fung Tak Estate",Wong Tai Sin,,1332
52,"La Rossa A, Coastal Skyline",Islands,,1333
53,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1334
54,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1335
55,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1336
56,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1337
57,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1338
58,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1339
59,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1340
60,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1341
61,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1342
62,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1343
63,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1344
64,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1345
65,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1346
66,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1347
67,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1348
68,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1349
69,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1350
70,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1351
71,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1352
72,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1353
73,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1354
74,"Shin Chi House,Shin Ming Estate",Sai Kung,,1356
75,"Ching Fai House, Tsz Ching Estate",Wong Tai Sin,,1357
76,"Ching Fai House, Tsz Ching Estate",Wong Tai Sin,,1358
77,"Ching Fai House, Tsz Ching Estate",Wong Tai Sin,,1359
78,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1360
79,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1361
80,Crowne Plaza Hong Kong Causeway Bay,Wan Chai,,1362
81,"Hoi Wen House , Hoi Fu Court",Yau Tsim Mong,,1364
82,"On Hong House, Tsz On Court",Wong Tai Sin,,1365
83,"Wing Loong Building, 260-266 Castle Peak Road",Sham Shui Po,,1366
84,"Lucky Building, To Kwa Wan",Kowloon City,,1368
85,"Choi Wah House, Choi Fai Estate, Ngau Chi Wan",Wong Tai Sin,,1371
86,"Mei Wo House, Wo Che Estate, Sha Tin",Sha Tin,,1372
87,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1374
88,"Tower 7, The Wings Phase 1",Sai Kung,,1375
89,"Hau Tat House, On Tat Estate",Kwun Tong,,1376
90,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1377
91,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1378
92,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1379
93,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1380
94,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1381
95,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1382
96,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1383
