,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,"Tower 3, Phase I, The Beaumount",Sai Kung,1590,
1,"Block 2, Radiant Towers",Sai Kung,1591,
2,"Block 5, Park Central",Sai Kung,1592,
3,"Tower 2B, The Wings Phase II",Sai Kung,1593,
4,"Shin Chi House, Shin Ming Estate",Sai Kung,1594,
5,"Tat Yi House, Po Tat Estate",Kwun Tong,1595,
6,"Tower 5, Phase II-A, LOHAS Park",Sai Kung,1596,
7,"Tan Fung House, Choi Hung Estate",Wong Tai Sin,1597,
8,"Winfair Building, 8 Yuk Wah Crescent",Wong Tai Sin,1598,
9,"Ching Fai House, Tsz Ching Estate",Wong Tai Sin,1599,
10,Dorsett Tsuen Wan,Kwai Tsing,1600,
11,"Ching Yuen House, Tsz Ching Estate",Wong Tai Sin,1601,
12,"Kwai Tung House, Tung Tau Estate (II)",Wong Tai Sin,1602,
13,"On Yan House, Tsz On Court",Wong Tai Sin,1603,
14,"On Yan House, Tsz On Court",Wong Tai Sin,1604,
15,"Ching Wo House, Tsz Ching Estate",Wong Tai Sin,1605,
16,"Hong Tak House, Tsz Hong Estate",Wong Tai Sin,1607,
17,53 Sheung Sze Wan,Sai Kung,1608,
18,"Foo Wo House, Wo Che Estate",Sha Tin,1610,
19,"Lai Kuk House, Lai Kok Estate",Sham Shui Po,1611,
20,"Kam Wan House, Choi Hung Estate",Wong Tai Sin,1612,
21,"Leung Chun House, Leung King Estate",Tuen Mun,1613,
22,"Yuet Chuen House, Shui Chuen O Estate",Sha Tin,1615,
23,Shun King Court,Sham Shui Po,1616,
24,"Block E, Allway Gardens",Tsuen Wan,1617,
25,"Fu Shun House, Fu Shan Estate",Wong Tai Sin,1618,
26,Po Sing Mansion,Kowloon City,1619,
27,Po Sing Mansion,Kowloon City,1620,
28,Po Sing Mansion,Kowloon City,1621,
29,"Lok Shing House, Tsz Lok Estate",Wong Tai Sin,1622,
30,"Tower 6, Harbour Place",Kowloon City,1623,
31,1 Hing Yan Street,Kowloon City,1624,
32,1 Hing Yan Street,Kowloon City,1625,
33,"Ching Yi House, Tsz Ching Estate",Wong Tai Sin,1626,
34,"Block 1, Heya Green",Sham Shui Po,1627,
35,"Block 1, Heya Green",Sham Shui Po,1628,
36,"Tak Fu Building, Yee Kuk Street",Sham Shui Po,1629,
37,"Ban Fung House, Fung Tak Estate",Wong Tai Sin,1630,
38,"Hung Cheong House, Hung Fuk Estate",Yuen Long,1631,
39,"Wang On House, Wang Tau Hom Estate",Wong Tai Sin,1632,
40,"Tower 20, Laguna Verde",Kowloon City,1633,
41,Pentahotel Hong Kong Kowloon,Wong Tai Sin,1633,
42,"Wai Sam House, Lung Hang Estate",Sha Tin,1634,
43,"Kam Pong House, Kam Tai Court",Sha Tin,1635,
44,Un On Building,Sham Shui Po,1636,
45,"Ching Fai House, Tsz Ching Estate",Wong Tai Sin,1637,
46,"Ha Hang, Ting Kok Road",Tai Po,1638,
47,"Lok Yan House, Tsz Lok Estate",Wong Tai Sin,1639,
48,"Lok Shing House, Tsz Lok Estate",Wong Tai Sin,1640,
49,"Tsui Lok House, Tsui Ping (South) Estate",Kwun Tong,1641,
50,"Leung Wai House, Leung King Estate",Tuen Mun,1642,
51,"Ching Tai House, Tsz Ching Estate",Wong Tai Sin,1643,
52,"Wo Kin House, Cheung Wo Court",Kwun Tong,1644,
53,"Block 13, Pak Tin Estate",Sham Shui Po,1647,
54,"Foo Wo House, Wo Che Estate",Sha Tin,1648,
55,"Hing Cho House, Hing Tung Estate",Eastern,1649,
56,"On Hoi House, Cheung On Estate",Kwai Tsing,1650,
57,"Block 14, Tsui Chuk Garden",Wong Tai Sin,1651,
58,"Block 1, Belvedere Garden Phase 2",Tsuen Wan,1652,
59,"Block E, Allway Gardens",Tsuen Wan,1653,
60,"Block 9, Glorious Garden",Tuen Mun,1654,
61,"Foo Wo House, Wo Che Estate",Sha Tin,1655,
62,"Ha Hang Village, Ting Kok Road",Tai Po,1656,
63,David Mansion,Yau Tsim Mong,1657,
64,Kimberley Mansion,Yau Tsim Mong,1658,
65,Gomme House,Wong Tai Sin,1659,
66,"Yung Sui House, Yung Shing Court",North,1660,
67,Shun King Court,Sham Shui Po,1661,
68,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,1662,
69,"Tip Chui House, Butterfly Building",Tuen Mun,1663,
70,"Block 2, Smithfield Court",Central & Western,1664,
71,"Yiu Sin House, Upper Wong Tai Sin Estate",Wong Tai Sin,1665,
72,"Hin Fu House, Hin Keng Estate",Sha Tin,1666,
