,TaxiUW3237(morningshift),21/08/2020,4742,ArrivalDate,RelatedConfirmed/ProbableCase(s),Train/Ship/Vehiclenumber,Dateoftravel,Relatedprobable/confirmedcases,TaxiUW3237(morningshift),21/08/2020,4742
0,GA876,Jakarta,Unknown,15/08/2020,4488,,,,,,
1,AY101,Helsinki,Unknown,15/08/2020,4489,,,,,,
2,CX906,Manila,65A,15/08/2020,4490,,,,,,
3,TK070,Istanbul,40A,15/08/2020,4509,,,,,,
4,CX6630,Zurich,5B,16/08/2020,Overseas case,,,,,,
5,AC007,Vancouver,24G,19/08/2020,4612,,,,,,
6,KA734,Kuala Lumpur,67K,19/08/2020,4620,,,,,,
7,CX883,Los Angeles,43C,20/08/2020,4611,,,,,,
8,BG078,Dhaka,41A,21/08/2020,4659,,,,,,
9,PR300,Manila,57A,21/08/2020,Overseas case,,,,,,
10,LX138,Zurich,34J,23/08/2020,4687,,,,,,
11,EK384,Bangkok,28A,23/08/2020,4698,,,,,,
12,TK070,Istanbul,14C,25/08/2020,4736,,,,,,
13,ET3703,Addis Ababa,Cabin Crew,25/08/2020,4737,,,,,,
14,QR818,Doha,27C,26/08/2020,4750,,,,,,
15,EK384,Bangkok,Unknown,26/08/2020,4775,,,,,,
16,HX782,Manila,60G,28/08/2020,4782,,,,,,
17,,,,,,Taxi JX5193 (night shift),19/08/2020,4641,,,
18,,,,,,,,,Taxi RY9747 (night shift),21/08/2020,4755
