,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),RamadaHongKongHarbourView,5314,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
0,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5250,,,,
1,Central & Western,Bon-Point,5251,,,,
2,Islands,Tai Wan Nam,5252,,,,
3,Islands,Hong Kong Skycity Marriott Hotel,5253,,,,
4,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5254,,,,
5,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5256,,,,
6,Yau Tsim Mong,"Cordis, Hong Kong",5257,,,,
7,Yau Tsim Mong,Ramada Hong Kong Grand,5258,,,,
8,Eastern,"Tower 1, Grand Promenade",5259,,,,
9,Central & Western,The Sheung Wan by Ovolo,5260,,,,
10,Islands,Hong Kong Skycity Marriott Hotel,5261,,,,
11,Islands,Regal Airport Hotel,5263,,,,
12,Wan Chai,Mini Hotel Causeway Bay,5269,,,,
13,Central & Western,Bishop Lei International House,5270,,,,
14,Kwai Tsing,Dorsett Tsuen Wan,5279,,,,
15,Islands,"Tower 15, Crystal Cove, Caribbean Coast",5281,,,,
16,Kwai Tsing,Dorsett Tsuen Wan,5282,,,,
17,Islands,Tai Wan Nam,5283,,,,
18,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5285,,,,
19,Eastern,"Block 9, Nan Fung Sun Chue",5288,,,,
20,Yau Tsim Mong,Ramada Hong Kong Grand,5289,,,,
21,Central & Western,Courtyard by Marriott Hong Kong,5290,,,,
22,Islands,Auberge Discovery Bay Hong Kong,5292,,,,
23,Sai Kung,"Block 9, Beverly Garden",5293,,,,
24,Yau Tsim Mong,"Silka Seaview Hotel, Hong Kong",5294,,,,
25,Kwai Tsing,Dorsett Tsuen Wan,5297,,,,
26,Eastern,Ramada Hong Kong Grand View,5303,,,,
27,Eastern,Ramada Hong Kong Grand View,5304,,,,
28,Tsuen Wan,"Silka Tsuen Wan, Hong Kong",5310,,,,
29,Kowloon City,"Lok Chi Lau, Lok Man Sun Chuen",5312,,,,
30,Southern,Kaza - Stanley,5313,,,,
31,,,,Wan Chai,The Charterhouse Causeway Bay,5315,
32,,,,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5316,
33,,,,Central & Western,Ramada Hong Kong Harbour View,5317,
34,,,,Yau Tsim Mong,Ramada Hong Kong Grand,5318,
35,,,,Eastern,10-16 Ching Wah Street,5321,
36,,,,Wan Chai,The Charterhouse Causeway Bay,5326,
37,,,,Islands,Novotel Citygate Hong Kong,5328,
38,,,,Yau Tsim Mong,Oriental Lander Hotel,5331,
39,,,,Islands,Seaview Holiday Resort,5332,
40,,,,Tai Po,Wai Tau Tsuen,5332,
41,,,,Tai Po,"Kwong Yee House, Kwong Fuk Estate",5336,
42,,,,Tai Po,Wai Tau Tsuen,5337,
43,Tuen Mun,H.A.N.D.S.,"4820, 4894, 4927, 4948, 4968, 4969, 5002, 5164",,,,05/10/2020
44,Wan Chai,Hong Kong Sanatorium & Hospital,"5135, 5136, 5137, 5166",,,,07/10/2020
45,Yau Tsim Mong,The Royal Garden,"5170, 5240",,,,08/10/2020
46,Sai Kung,Yu Cheong House Yu Ming Court,"5200, 5206",,,,09/10/2020
47,Sai Kung,Shop 12 Ground Floor Bauhinia Garden,"5200, 5206",,,,10/10/2020
48,Tuen Mun,Hanford Plaza,5281,,,,19/10/2020
49,Tuen Mun,8A1 & A2 Tsing Hoi Circuit 東哥點心火鍋第 六分店,5281,,,,20/10/2020
50,Tuen Mun,San Hui Market,5281,,,,20/10/2020
51,Islands,Yat Tung Shopping Centre Phase I TamJai SamGor Mixian,5281,,,,21/10/2020
52,Central & Western,340 Queen's Road Central,5293,,,,21/10/2020
53,Yau Tsim Mong,Manly Commercial Building,5288,,,,22/10/2020
54,Kowloon City,Pine Manor,5288,,,,22/10/2020
55,Central & Western,Siu Ying Commercial Building,"5293, 5312",,,,23/10/2020
56,Wan Chai,Harbour Road Sports Centre,5321,,,,23/10/2020
57,Eastern,Metropole Building Fulum Palace (North Point),5321,,,,24/10/2020
58,Wan Chai,203 Wan Chai Road New Forest Restaurant,5312,,,,27/10/2020
59,Kwun Tong,Kai Yip Shopping Centre Cooked Food Stall 德源 極上串王,5321,,,,28/10/2020
60,Southern,1 Heung Yip Road,5332,,,,28/10/2020
61,Tai Po,Central Plaza,5332,,,,28/10/2020
62,Central & Western,Shun Tak Centre West Tower,5321,,,,29/10/2020
63,North,Commune Modern Tamjai Yunnan Mixian,5337,,,,29/10/2020
64,Tai Po,Fortune Plaza Arcade Tai Wing Wah,5336,,,,29/10/2020
65,Tai Po,Kwong Fuk Commercial Centre Café decoral,5336,,,,30/10/2020
66,North,3 Luen Hing Street Forever Tea,5337,,,,30/10/2020
67,Tai Po,Merit Place Asahi Kawa Japanese Casual Restaurant,5336,,,,30/10/2020
68,Yau Tsim Mong,Mong Kok Police Station,5331,,,,30/10/2020
69,Tai Po,Ting Kok Rd 同信士多,5337,,,,30/10/2020
70,Wong Tai Sin,182-188 Junction Road Eat Chinese Restaurant,5337,,,,31/10/2020
71,Tai Po,Kwong Fuk Road 三不館 車仔麵,5336,,,,31/10/2020
