,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),NovotelCitygateHongKong,5328,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
0,Yau Tsim Mong,Ramada Hong Kong Grand,5258,,,,
1,Eastern,"Tower 1, Grand Promenade",5259,,,,
2,Central & Western,The Sheung Wan by Ovolo,5260,,,,
3,Islands,Hong Kong Skycity Marriott Hotel,5261,,,,
4,Islands,Regal Airport Hotel,5263,,,,
5,Wan Chai,Mini Hotel Causeway Bay,5269,,,,
6,Central & Western,Bishop Lei International House,5270,,,,
7,Kwai Tsing,Dorsett Tsuen Wan,5279,,,,
8,Islands,"Tower 15, Crystal Cove, Caribbean Coast",5281,,,,
9,Kwai Tsing,Dorsett Tsuen Wan,5282,,,,
10,Islands,Tai Wan Nam,5283,,,,
11,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5285,,,,
12,Eastern,"Block 9, Nan Fung Sun Chue",5288,,,,
13,Yau Tsim Mong,Ramada Hong Kong Grand,5289,,,,
14,Central & Western,Courtyard by Marriott Hong Kong,5290,,,,
15,Islands,Auberge Discovery Bay Hong Kong,5292,,,,
16,Sai Kung,"Block 9, Beverly Garden",5293,,,,
17,Yau Tsim Mong,"Silka Seaview Hotel, Hong Kong",5294,,,,
18,Kwai Tsing,Dorsett Tsuen Wan,5297,,,,
19,Eastern,Ramada Hong Kong Grand View,5303,,,,
20,Eastern,Ramada Hong Kong Grand View,5304,,,,
21,Tsuen Wan,"Silka Tsuen Wan, Hong Kong",5310,,,,
22,Kowloon City,"Lok Chi Lau, Lok Man Sun Chuen",5312,,,,
23,Southern,Kaza - Stanley,5313,,,,
24,Central & Western,Ramada Hong Kong Harbour View,5314,,,,
25,Wan Chai,The Charterhouse Causeway Bay,5315,,,,
26,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5316,,,,
27,Central & Western,Ramada Hong Kong Harbour View,5317,,,,
28,Yau Tsim Mong,Ramada Hong Kong Grand,5318,,,,
29,Eastern,10-16 Ching Wah Street,5321,,,,
30,Wan Chai,The Charterhouse Causeway Bay,5326,,,,
31,,,,Yau Tsim Mong,Oriental Lander Hotel,5331,
32,,,,Islands,Seaview Holiday Resort,5332,
