,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),"ShinLunHouse,FuShinEstate",5338,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
0,Kwai Tsing,Dorsett Tsuen Wan,5279,,,,
1,Islands,"Tower 15, Crystal Cove, Caribbean Coast",5281,,,,
2,Kwai Tsing,Dorsett Tsuen Wan,5282,,,,
3,Islands,Tai Wan Nam,5283,,,,
4,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5285,,,,
5,Eastern,"Block 9, Nan Fung Sun Chue",5288,,,,
6,Yau Tsim Mong,Ramada Hong Kong Grand,5289,,,,
7,Central & Western,Courtyard by Marriott Hong Kong,5290,,,,
8,Islands,Auberge Discovery Bay Hong Kong,5292,,,,
9,Sai Kung,"Block 9, Beverly Garden",5293,,,,
10,Yau Tsim Mong,"Silka Seaview Hotel, Hong Kong",5294,,,,
11,Kwai Tsing,Dorsett Tsuen Wan,5297,,,,
12,Eastern,Ramada Hong Kong Grand View,5303,,,,
13,Eastern,Ramada Hong Kong Grand View,5304,,,,
14,Tsuen Wan,"Silka Tsuen Wan, Hong Kong",5310,,,,
15,Kowloon City,"Lok Chi Lau, Lok Man Sun Chuen",5312,,,,
16,Southern,Kaza - Stanley,5313,,,,
17,Central & Western,Ramada Hong Kong Harbour View,5314,,,,
18,Wan Chai,The Charterhouse Causeway Bay,5315,,,,
19,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5316,,,,
20,Central & Western,Ramada Hong Kong Harbour View,5317,,,,
21,Yau Tsim Mong,Ramada Hong Kong Grand,5318,,,,
22,Eastern,10-16 Ching Wah Street,5321,,,,
23,Wan Chai,The Charterhouse Causeway Bay,5326,,,,
24,Islands,Novotel Citygate Hong Kong,5328,,,,
25,Yau Tsim Mong,Oriental Lander Hotel,5331,,,,
26,Sha Tin,Kai Yuen Building,5331,,,,
27,Islands,Seaview Holiday Resort,5332,,,,
28,Tai Po,"Wai Tau Tsuen, Tai Po",5332,,,,
29,Tai Po,"Kwong Yee House, Kwong Fuk Estate",5336,,,,
30,Tai Po,Wai Tau Tsuen,5337,,,,
31,,,,Eastern,Harbour Grand Hong Kong,5340,
32,,,,Eastern,Harbour Grand Hong Kong,5341,
33,,,,Tai Po,Wai Tau Tsuen,5342,
34,,,,Wan Chai,Yan Wo Yuet Building,5343,
35,,,,Yau Tsim Mong,Silka Seaview Hotel Hong Kong,5344,
36,,,,Yau Tsim Mong,Ramada Hong Kong Grand,5345,
37,,,,Tai Po,"Kwong Yee House, Kwong Yau House",5347,
38,,,,Tai Po,"Shin Lun House, Fu Shin Estate",5348,
39,,,,Islands,Novotel Citygate Hong Kong,5352,
40,,,,Yuen Long,Shui Lau Tin Tsuen,5354,
41,,,,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5356,
42,Yau Tsim Mong,The Royal Garden,"5170, 5240",,,,08/10/2020
43,Sai Kung,Yu Cheong House Yu Ming Court,"5200, 5206",,,,09/10/2020
44,Sai Kung,Bauhinia Garden,"5200, 5206",,,,10/10/2020
45,Yau Tsim Mong,Manly Commercial Building,5288,,,,22/10/2020
46,Kowloon City,Pine Manor,5288,,,,22/10/2020
47,Wan Chai,Harbour Road Sports Centre,5321,,,,23/10/2020
48,Central & Western,Siu Ying Commercial Building,"5293, 5312",,,,23/10/2020
49,Eastern,Metropole Building Fulum Palace (North Point),5321,,,,24/10/2020
50,Islands,Mui Wo Cooked Food Market Ke Ho Resturant,5332,,,,26/10/2020
51,Islands,1 Chung Hau Street Tak Chai Kee,5332,,,,26/10/2020
52,Wan Chai,203 Wan Chai Road New Forest Restaurant,5312,,,,27/10/2020
53,Islands,Mui Wo Cooked Food Market Shun Hing Seafood,5332,,,,27/10/2020
54,Kwun Tong,Kai Yip Shopping Centre Cooked Food Stall 德源 極上串王,5321,,,,28/10/2020
55,Tai Po,Central Plaza,5332,,,,28/10/2020
56,Wan Chai,Pearl City,5338,,,,28/10/2020
57,Central & Western,99 Queen's Road Central,5343,,,,28/10/2020
58,Kwun Tong,MegaBox Pepper Lunch,5354,,,,28/10/2020
59,Kwun Tong,MegaBox,5354,,,,28/10/2020
60,Kwun Tong,Kowloon Bay Park Football Field,5354,,,,28/10/2020
61,Central & Western,Shun Tak Centre West Tower,5321,,,,29/10/2020
62,Tai Po,Fortune Plaza Arcade Tai Wing Wah,5336,,,,29/10/2020
63,North,Commune Modern Tamjai Yunnan Mixian,5337,,,,29/10/2020
64,Central & Western,3 Garden Road,5343,,,,29/10/2020
65,Tai Po,Tai Po Plaza 萬利小食店,5347,,,,29/10/2020
66,Sha Tin,Ma On Shan Sports Ground,5354,,,,29/10/2020
67,Yau Tsim Mong,Mong Kok Police Station,5331,,,,30/10/2020
68,Tai Po,Kwong Fuk Commercial Centre Café de Coral,5336,,,,30/10/2020
69,Tai Po,Merit Place Asahi Kawa Japanese Casual Restaurant,5336,,,,30/10/2020
70,North,3 Luen Hing Street Forever Tea,5337,,,,30/10/2020
71,Tai Po,Ting Kok Rd 同信士多,5337,,,,30/10/2020
72,Kwai Tsing,Hong Kong Institute of Vocational Education (Tsing Yi),5342,,,,30/10/2020
73,Tai Po,Kwong Fuk Road 三不館 車仔麵,5336,,,,31/10/2020
74,Wong Tai Sin,182-188 Junction Road Eat Chinese Restaurant,5337,,,,31/10/2020
75,Yuen Long,Tin Shui Wai Community Sports Ground,5354,,,,31/10/2020
76,Yuen Long,"Lam Hau Tsuen, Lam Tai East Road",5354,,,,31/10/2020
77,Sha Tin,Jockey Club Kitchee Centre,5354,,,,31/10/2020
78,Southern,1 Heung Yip Road,"5332, 5342",,,,31/10/2020
79,Wan Chai,Chun Hing Mansion McDonald's,5343,,,,01/11/2020
80,Yuen Long,112A On Ning Road,5354,,,,02/11/2020
81,Wong Tai Sin,Morse Park Soccer Pitch,5354,,,,04/11/2020
