,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),SilkaSeaviewHotelHongKong,5344,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
0,Eastern,"Block 9, Nan Fung Sun Chue",5288,,,,
1,Yau Tsim Mong,Ramada Hong Kong Grand,5289,,,,
2,Central & Western,Courtyard by Marriott Hong Kong,5290,,,,
3,Islands,Auberge Discovery Bay Hong Kong,5292,,,,
4,Sai Kung,"Block 9, Beverly Garden",5293,,,,
5,Yau Tsim Mong,"Silka Seaview Hotel, Hong Kong",5294,,,,
6,Kwai Tsing,Dorsett Tsuen Wan,5297,,,,
7,Eastern,Ramada Hong Kong Grand View,5303,,,,
8,Eastern,Ramada Hong Kong Grand View,5304,,,,
9,Tsuen Wan,"Silka Tsuen Wan, Hong Kong",5310,,,,
10,Kowloon City,"Lok Chi Lau, Lok Man Sun Chuen",5312,,,,
11,Southern,Kaza - Stanley,5313,,,,
12,Central & Western,Ramada Hong Kong Harbour View,5314,,,,
13,Wan Chai,The Charterhouse Causeway Bay,5315,,,,
14,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5316,,,,
15,Central & Western,Ramada Hong Kong Harbour View,5317,,,,
16,Yau Tsim Mong,Ramada Hong Kong Grand,5318,,,,
17,Eastern,10-16 Ching Wah Street,5321,,,,
18,Wan Chai,The Charterhouse Causeway Bay,5326,,,,
19,Islands,Novotel Citygate Hong Kong,5328,,,,
20,Sha Tin,Kai Yuen Building,5331,,,,
21,Yau Tsim Mong,Oriental Lander Hotel,5331,,,,
22,Islands,Seaview Holiday Resort,5332,,,,
23,Tai Po,"Wai Tau Tsuen, Tai Po",5332,,,,
24,Tai Po,"Kwong Yee House, Kwong Fuk Estate",5336,,,,
25,Tai Po,Wai Tau Tsuen,5337,,,,
26,Tai Po,"Shin Lun House, Fu Shin Estate",5338,,,,
27,Eastern,Harbour Grand Hong Kong,5340,,,,
28,Eastern,Harbour Grand Hong Kong,5341,,,,
29,Tai Po,Wai Tau Tsuen,5342,,,,
30,Wan Chai,Yan Wo Yuet Building,5343,,,,
31,,,,Yau Tsim Mong,Ramada Hong Kong Grand,5345,
32,,,,Tai Po,"Kwong Yau House, Kwong Fuk Estate",5347,
33,,,,Tai Po,"Shin Lun House, Fu Shin Estate",5348,
34,,,,Islands,Novotel Citygate Hong Kong,5352,
35,,,,Yuen Long,Shui Lau Tin Tsuen,5354,
36,,,,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5356,
37,,,,Islands,Regal Airport Hotel,5361,
38,,,,Kowloon City,O'Hotel,5362,
39,,,,Tai Po,"Kwong Ping House, Kwong Fuk Estate",5365,
40,Sai Kung,Bauhinia Garden,"5200, 5206",,,,10/10/2020
41,Central & Western,Siu Ying Commercial Building,"5293, 5312",,,,23/10/2020
42,Eastern,Metropole Building Fulum Palace (North Point),5321,,,,24/10/2020
43,Islands,Mui Wo Cooked Food Market Ke Ho Resturant,5332,,,,26/10/2020
44,Islands,1 Chung Hau Street Tak Chai Kee,5332,,,,26/10/2020
45,Wan Chai,203 Wan Chai Road New Forest Restaurant,5312,,,,27/10/2020
46,Islands,Mui Wo Cooked Food Market Shun Hing Seafood,5332,,,,27/10/2020
47,Kwun Tong,Kai Yip Shopping Centre Cooked Food Stall 德源 極上串王,5321,,,,28/10/2020
48,Tai Po,Central Plaza,5332,,,,28/10/2020
49,Wan Chai,Pearl City,5338,,,,28/10/2020
50,Central & Western,99 Queen's Road Central,5343,,,,28/10/2020
51,Kwun Tong,MegaBox Pepper Lunch,5354,,,,28/10/2020
52,Kwun Tong,MegaBox,5354,,,,28/10/2020
53,Kwun Tong,Kowloon Bay Park Football Field,5354,,,,28/10/2020
54,Central & Western,Shun Tak Centre West Tower,5321,,,,29/10/2020
55,Tai Po,Fortune Plaza Arcade Tai Wing Wah,5336,,,,29/10/2020
56,North,Commune Modern Tamjai Yunnan Mixian,5337,,,,29/10/2020
57,Central & Western,3 Garden Road,5343,,,,29/10/2020
58,Tai Po,Tai Po Plaza 萬利小食店,5347,,,,29/10/2020
59,Sha Tin,Ma On Shan Recreation Ground,5354,,,,29/10/2020
60,Tai Po,8 Shung Tak Street A Inn Club,5365,,,,29/10/2020
61,Yau Tsim Mong,Mong Kok Police Station,5331,,,,30/10/2020
62,Tai Po,Kwong Fuk Commercial Centre Café de Coral,5336,,,,30/10/2020
63,Tai Po,Merit Place Asahi Kawa Japanese Casual Restaurant,5336,,,,30/10/2020
64,North,3 Luen Hing Street Forever Tea,5337,,,,30/10/2020
65,Tai Po,Ting Kok Rd 同信士多,5337,,,,30/10/2020
66,Kwai Tsing,Hong Kong Institute of Vocational Education (Tsing Yi),5342,,,,30/10/2020
67,Tai Po,Kwong Fuk Road 三不館 車仔麵,5336,,,,31/10/2020
68,Wong Tai Sin,182-188 Junction Road Eat Chinese Restaurant,5337,,,,31/10/2020
69,Yuen Long,Tin Shui Wai Community Sports Ground,5354,,,,31/10/2020
70,Yuen Long,"Lam Hau Tsuen, Lam Tai East Road",5354,,,,31/10/2020
71,Sha Tin,Jockey Club Kitchee Centre,5354,,,,31/10/2020
72,Southern,1 Heung Yip Road,"5332, 5342",,,,31/10/2020
73,Wan Chai,Chun Hing Mansion McDonald's,5343,,,,01/11/2020
74,Yuen Long,112A On Ning Road,5354,,,,02/11/2020
75,Wong Tai Sin,Morse Park Soccer Pitch,5354,,,,04/11/2020
76,Tai Po,Wing Fat Building Sushi Tokumi,5365,,,,04/11/2020
