,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),RegalAirportHotel,5361,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
0,Kwai Tsing,Dorsett Tsuen Wan,5297,,,,
1,Eastern,Ramada Hong Kong Grand View,5303,,,,
2,Eastern,Ramada Hong Kong Grand View,5304,,,,
3,Tsuen Wan,"Silka Tsuen Wan, Hong Kong",5310,,,,
4,Kowloon City,"Lok Chi Lau, Lok Man Sun Chuen",5312,,,,
5,Southern,Kaza - Stanley,5313,,,,
6,Central & Western,Ramada Hong Kong Harbour View,5314,,,,
7,Wan Chai,The Charterhouse Causeway Bay,5315,,,,
8,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5316,,,,
9,Central & Western,Ramada Hong Kong Harbour View,5317,,,,
10,Yau Tsim Mong,Ramada Hong Kong Grand,5318,,,,
11,Eastern,10-16 Ching Wah Street,5321,,,,
12,Wan Chai,The Charterhouse Causeway Bay,5326,,,,
13,Islands,Novotel Citygate Hong Kong,5328,,,,
14,Sha Tin,Kai Yuen Building,5331,,,,
15,Yau Tsim Mong,Oriental Lander Hotel,5331,,,,
16,Tai Po,"Wai Tau Tsuen, Tai Po",5332,,,,
17,Tai Po,"Kwong Yee House, Kwong Fuk Estate",5336,,,,
18,Tai Po,Wai Tau Tsuen,5337,,,,
19,Tai Po,"Shin Lun House, Fu Shin Estate",5338,,,,
20,Eastern,Harbour Grand Hong Kong,5340,,,,
21,Eastern,Harbour Grand Hong Kong,5341,,,,
22,Tai Po,Wai Tau Tsuen,5342,,,,
23,Wan Chai,Yan Wo Yuet Building,5343,,,,
24,Yau Tsim Mong,Silka Seaview Hotel Hong Kong,5344,,,,
25,Yau Tsim Mong,Ramada Hong Kong Grand,5345,,,,
26,Tai Po,"Kwong Yau House, Kwong Fuk Estate",5347,,,,
27,Tai Po,"Shin Lun House, Fu Shin Estate",5348,,,,
28,Islands,Novotel Citygate Hong Kong,5352,,,,
29,Yuen Long,Shui Lau Tin Tsuen,5354,,,,
30,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5356,,,,
31,,,,Kowloon City,O'Hotel,5362,
32,,,,Tai Po,"Kwong Ping House, Kwong Fuk Estate",5365,
33,,,,Kowloon City,Paris Garden,5367,
34,,,,Kowloon City,Paris Garden,5371,
35,,,,Islands,"Crestmont Villa, Discovery Bay",5372,
36,,,,Yuen Long,Green Villa,5373,
37,,,,Tai Po,"Hing Wo House, Po Nga Court",5375,
38,,,,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5376,
39,,,,Islands,"Tower 3, The Visionary",5377,
40,,,,Yau Tsim Mong,"Kowloon Shangri-La, Hong Kong",5379,
41,,,,Islands,Hong Kong Skycity Marriott Hotel,5380,
42,Central & Western,Siu Ying Commercial Building,"5293, 5312",,,,23/10/2020
43,Islands,Mui Wo Cooked Food Market Ke Ho Resturant,5332,,,,26/10/2020
44,Islands,1 Chung Hau Street Tak Chai Kee,5332,,,,26/10/2020
45,Islands,Seaview Holiday Resort,5332,,,,27/10/2020
46,Wan Chai,203 Wan Chai Road New Forest Restaurant,5312,,,,27/10/2020
47,Islands,Mui Wo Cooked Food Market Shun Hing Seafood,5332,,,,27/10/2020
48,Kwun Tong,Kai Yip Shopping Centre Cooked Food Stall 德源 極上串王,5321,,,,28/10/2020
49,Tai Po,Central Plaza,5332,,,,28/10/2020
50,Wan Chai,Pearl City,5338,,,,28/10/2020
51,Central & Western,99 Queen's Road Central,5343,,,,28/10/2020
52,Kwun Tong,MegaBox Pepper Lunch,5354,,,,28/10/2020
53,Kwun Tong,MegaBox,5354,,,,28/10/2020
54,Kwun Tong,Kowloon Bay Park Football Field,5354,,,,28/10/2020
55,Central & Western,Shun Tak Centre West Tower,5321,,,,29/10/2020
56,Tai Po,Fortune Plaza Arcade Tai Wing Wah,5336,,,,29/10/2020
57,North,Commune Modern Tamjai Yunnan Mixian,5337,,,,29/10/2020
58,Central & Western,3 Garden Road,5343,,,,29/10/2020
59,Tai Po,Tai Po Plaza 萬利小食店,5347,,,,29/10/2020
60,Sha Tin,Ma On Shan Recreation Ground,5354,,,,29/10/2020
61,Tai Po,8 Shung Tak Street A Inn Club,5365,,,,29/10/2020
62,Wan Chai,163 Hennessy Road,5375,,,,29/10/2020
63,Yau Tsim Mong,Mong Kok Police Station,5331,,,,30/10/2020
64,Tai Po,Kwong Fuk Commercial Centre Café de Coral,5336,,,,30/10/2020
65,Tai Po,Merit Place Asahi Kawa Japanese Casual Restaurant,5336,,,,30/10/2020
66,North,3 Luen Hing Street Forever Tea,5337,,,,30/10/2020
67,Tai Po,Ting Kok Rd 同信士多,5337,,,,30/10/2020
68,Kwai Tsing,Hong Kong Institute of Vocational Education (Tsing Yi),5342,,,,30/10/2020
69,Tai Po,Kwong Fuk Road 三不館 車仔麵,5336,,,,31/10/2020
70,Wong Tai Sin,182-188 Junction Road Eat Chinese Restaurant,5337,,,,31/10/2020
71,Yuen Long,Tin Shui Wai Community Sports Ground,5354,,,,31/10/2020
72,Yuen Long,"Lam Hau Tsuen, Lam Tai East Road",5354,,,,31/10/2020
73,Sha Tin,Jockey Club Kitchee Centre,5354,,,,31/10/2020
74,Southern,1 Heung Yip Road,"5332, 5342",,,,31/10/2020
75,Wan Chai,Chun Hing Mansion McDonald's,5343,,,,01/11/2020
76,Sha Tin,New Town Plaza,5375,,,,01/11/2020
77,Yuen Long,112A On Ning Road,5354,,,,02/11/2020
78,Wong Tai Sin,Morse Park Soccer Pitch,5354,,,,04/11/2020
79,Tai Po,Wing Fat Building Sushi Tokumi,5365,,,,04/11/2020
80,Tai Po,13 Heung Sze Wui Street Wah Fai Restaurant and Cake Shop,5365,,,,05/11/2020
81,Wan Chai,Everbright Centre,5375,,,,06/11/2020
82,Sha Tin,New Town Plaza Phase I Tristar Kitchen,5375,,,,06/11/2020
83,Wan Chai,Haywood Mansion,5371,,,,07/11/2020
84,Sha Tin,SKH Holy Spirit Primary School,5375,,,,07/11/2020
85,Kowloon City,Comfort Court Tak Cheong Noodle,"5367, 5371",,,,07/11/2020
