,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),"KwongPingHouse,KwongFukEstate",5365,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
0,Tsuen Wan,"Silka Tsuen Wan, Hong Kong",5310,,,,
1,Kowloon City,"Lok Chi Lau, Lok Man Sun Chuen",5312,,,,
2,Southern,Kaza - Stanley,5313,,,,
3,Central & Western,Ramada Hong Kong Harbour View,5314,,,,
4,Wan Chai,The Charterhouse Causeway Bay,5315,,,,
5,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5316,,,,
6,Central & Western,Ramada Hong Kong Harbour View,5317,,,,
7,Yau Tsim Mong,Ramada Hong Kong Grand,5318,,,,
8,Eastern,10-16 Ching Wah Street,5321,,,,
9,Wan Chai,The Charterhouse Causeway Bay,5326,,,,
10,Islands,Novotel Citygate Hong Kong,5328,,,,
11,Sha Tin,Kai Yuen Building,5331,,,,
12,Yau Tsim Mong,Oriental Lander Hotel,5331,,,,
13,Islands,Seaview Holiday Resort,5332,,,,
14,Tai Po,"Wai Tau Tsuen, Tai Po",5332,,,,
15,Tai Po,"Kwong Yee House, Kwong Fuk Estate",5336,,,,
16,Tai Po,Wai Tau Tsuen,5337,,,,
17,Tai Po,"Shin Lun House, Fu Shin Estate",5338,,,,
18,Eastern,Harbour Grand Hong Kong,5340,,,,
19,Eastern,Harbour Grand Hong Kong,5341,,,,
20,Tai Po,Wai Tau Tsuen,5342,,,,
21,Wan Chai,Yan Wo Yuet Building,5343,,,,
22,Yau Tsim Mong,Silka Seaview Hotel Hong Kong,5344,,,,
23,Yau Tsim Mong,Ramada Hong Kong Grand,5345,,,,
24,Tai Po,"Kwong Yau House, Kwong Fuk Estate",5347,,,,
25,Tai Po,"Shin Lun House, Fu Shin Estate",5348,,,,
26,Islands,Novotel Citygate Hong Kong,5352,,,,
27,Yuen Long,Shui Lau Tin Tsuen,5354,,,,
28,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5356,,,,
29,Islands,Regal Airport Hotel,5361,,,,
30,Kowloon City,O'Hotel,5362,,,,
31,,,,Kowloon City,Paris Garden,5367,
32,,,,Kowloon City,Paris Garden,5371,
33,,,,Islands,"Crestmont Villa, Discovery Bay",5372,
34,,,,Yuen Long,Green Villa,5373,
35,,,,Tai Po,"Hing Wo House, Po Nga Court",5375,
36,,,,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5376,
37,,,,Islands,"Tower 3, The Visionary",5377,
38,,,,Yau Tsim Mong,"Kowloon Shangri-La, Hong Kong",5379,
39,,,,Islands,Hong Kong Skycity Marriott Hotel,5380,
40,,,,Tai Po,"Hing Wo House, Po Nga Court",5382,
41,,,,Sha Tin,"Golden Comfort Court, Phase 2, Golden Lion Garden",5384,
42,,,,Islands,"Tower 3, the Visionary, Tung Chung",5388,
43,,,,Islands,"Tower 3, the Visionary, Tung Chung",5389,
44,,,,Islands,"Tower 3, the Visionary, Tung Chung",5390,
45,,,,Kwai Tsing,"Block 9, Kwai Shing West Estate",5391,
46,,,,Islands,Hong Kong Skycity Marriott Hotel,5393,
47,,,,Islands,Headland Hotel,5396,
48,,,,Tuen Mun,"Ming Wai Building, 8-10 Tuen Mun Heung Sze Wui Road",5398,
49,,,,Eastern,Hyatt Centric Victoria Harbour Hong Kong,5398,
50,,,,Tsuen Wan,"Tower 7, Parc City",5399,
51,,,,Kowloon City,"Tower 1, The Metropolis Residence",5405,
52,,,,Yau Tsim Mong,The Kimberley Hotel,5408,
53,Central & Western,Siu Ying Commercial Building,"5293, 5312",,,,23/10/2020
54,Kwun Tong,Kai Yip Shopping Centre Cooked Food Stall 德源 極上串王,5321,,,,28/10/2020
55,Tai Po,Central Plaza,5332,,,,28/10/2020
56,Wan Chai,Pearl City,5338,,,,28/10/2020
57,Central & Western,99 Queen's Road Central,5343,,,,28/10/2020
58,Kwun Tong,MegaBox Pepper Lunch,5354,,,,28/10/2020
59,Kwun Tong,MegaBox,5354,,,,28/10/2020
60,Kwun Tong,Kowloon Bay Park Football Field,5354,,,,28/10/2020
61,Central & Western,Shun Tak Centre West Tower,5321,,,,29/10/2020
62,Tai Po,Fortune Plaza Arcade Tai Wing Wah,5336,,,,29/10/2020
63,North,Commune Modern Tamjai Yunnan Mixian,5337,,,,29/10/2020
64,Central & Western,3 Garden Road,5343,,,,29/10/2020
65,Tai Po,Tai Po Plaza 萬利小食店,5347,,,,29/10/2020
66,Sha Tin,Ma On Shan Recreation Ground,5354,,,,29/10/2020
67,Tai Po,8 Shung Tak Street A Inn Club,5365,,,,29/10/2020
68,Wan Chai,163 Hennessy Road,5375,,,,29/10/2020
69,Yau Tsim Mong,Mong Kok Police Station,5331,,,,30/10/2020
70,Tai Po,Kwong Fuk Commercial Centre Café de Coral,5336,,,,30/10/2020
71,Tai Po,Merit Place Asahi Kawa Japanese Casual Restaurant,5336,,,,30/10/2020
72,North,3 Luen Hing Street Forever Tea,5337,,,,30/10/2020
73,Tai Po,Ting Kok Rd 同信士多,5337,,,,30/10/2020
74,Kwai Tsing,Hong Kong Institute of Vocational Education (Tsing Yi),5342,,,,30/10/2020
75,Tai Po,Kwong Fuk Road 三不館 車仔麵,5336,,,,31/10/2020
76,Wong Tai Sin,182-188 Junction Road Eat Chinese Restaurant,5337,,,,31/10/2020
77,Yuen Long,Tin Shui Wai Community Sports Ground,5354,,,,31/10/2020
78,Yuen Long,"Lam Hau Tsuen, Lam Tai East Road",5354,,,,31/10/2020
79,Sha Tin,Jockey Club Kitchee Centre,5354,,,,31/10/2020
80,Southern,1 Heung Yip Road,"5332, 5342",,,,31/10/2020
81,Wan Chai,Chun Hing Mansion McDonald's,5343,,,,01/11/2020
82,Sha Tin,New Town Plaza,5375,,,,01/11/2020
83,Yuen Long,112A On Ning Road,5354,,,,02/11/2020
84,Wong Tai Sin,"Lok Fu Place, Marugame Seimen",5398,,,,03/11/2020
85,Kowloon City,Hong Kong Baptist University,5398,,,,03/11/2020
86,Wong Tai Sin,Morse Park Soccer Pitch,5354,,,,04/11/2020
87,Tai Po,Wing Fat Building Sushi Tokumi,5365,,,,04/11/2020
88,Kowloon City,6 San Shan Road Yue Min Fong,5398,,,,04/11/2020
89,Southern,2 Heung Yip Road Cheung Do Kwan,5398,,,,04/11/2020
90,Tuen Mun,Lai Bo Shopping Centre,5398,,,,04/11/2020
91,Tai Po,13 Heung Sze Wui Street Wah Fai Restaurant and Cake Shop,5365,,,,05/11/2020
92,Kowloon City,Festival Walk On-Yasai,5382,,,,05/11/2020
93,Kowloon City,EDB Kowloon Tong Education Services Center,5382,,,,05/11/2020
94,Yau Tsim Mong,"Block 17, Charming Garden",5382,,,,05/11/2020
95,Eastern,Hyatt Centric Victoria Harbour Hong Kong,5398,,,,05/11/2020
96,Sham Shui Po,Pei Ho Street Sports Centre,5398,,,,05/11/2020
97,Yau Tsim Mong,Argyle Centre Phase 1,5398,,,,05/11/2020
98,Sai Kung,"Tai Mong Tsai Rd, Beach Pub",5399,,,,05/11/2020
99,Kowloon City,"South Wall Road, Chong Fat Chiu Chow Restaurant",5399,,,,05/11/2020
100,Sha Tin,Sha Tin Fun City Steak Expert,5382,,,,06/11/2020
101,Wan Chai,Kin Lee Building,5384,,,,06/11/2020
102,Tsuen Wan,"Citywalk, Mixian Sense",5399,,,,06/11/2020
103,Tsuen Wan,"Citywalk, Mak's Noodle",5399,,,,06/11/2020
104,Tsuen Wan,"Tsuen Wan Plaza, Super Star Chinese Cuisine",5399,,,,06/11/2020
105,Wan Chai,Everbright Centre,"5375, 5384",,,,06/11/2020
106,Sha Tin,New Town Plaza Phase I Tristar Kitchen,"5375, 5382",,,,06/11/2020
107,Islands,Citygate,"5388, 5389",,,,06/11/2020
108,Wan Chai,Haywood Mansion,5371,,,,07/11/2020
109,Central & Western,"Chong Yuet Ming Amenities Centre, The",5382,,,,07/11/2020
110,Central & Western,"Meng Wah Complex, The University of Hong Kong",5382,,,,07/11/2020
111,Sha Tin,M.C. BOX Lung Heng Market,5384,,,,07/11/2020
112,Islands,Inspiration Lake Children's Playground,5388,,,,07/11/2020
113,Tuen Mun,"G/F, Sun Court,",5398,,,,07/11/2020
114,Kowloon City,Comfort Court Tak Cheong Noodle,"5367, 5371",,,,07/11/2020
115,Sha Tin,SKH Holy Spirit Primary School,"5375, 5382",,,,07/11/2020
