,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),ParisGarden,5367,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
0,Kowloon City,"Lok Chi Lau, Lok Man Sun Chuen",5312,,,,
1,Southern,Kaza - Stanley,5313,,,,
2,Central & Western,Ramada Hong Kong Harbour View,5314,,,,
3,Wan Chai,The Charterhouse Causeway Bay,5315,,,,
4,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5316,,,,
5,Central & Western,Ramada Hong Kong Harbour View,5317,,,,
6,Yau Tsim Mong,Ramada Hong Kong Grand,5318,,,,
7,Eastern,10-16 Ching Wah Street,5321,,,,
8,Wan Chai,The Charterhouse Causeway Bay,5326,,,,
9,Islands,Novotel Citygate Hong Kong,5328,,,,
10,Sha Tin,Kai Yuen Building,5331,,,,
11,Yau Tsim Mong,Oriental Lander Hotel,5331,,,,
12,Islands,Seaview Holiday Resort,5332,,,,
13,Tai Po,Wai Tau Tsuen,5332,,,,
14,Tai Po,"Kwong Yee House, Kwong Fuk Estate",5336,,,,
15,Tai Po,Wai Tau Tsuen,5337,,,,
16,Tai Po,"Shin Lun House, Fu Shin Estate",5338,,,,
17,Eastern,Harbour Grand Hong Kong,5340,,,,
18,Eastern,Harbour Grand Hong Kong,5341,,,,
19,Tai Po,Wai Tau Tsuen,5342,,,,
20,Wan Chai,Yan Wo Yuet Building,5343,,,,
21,Yau Tsim Mong,Silka Seaview Hotel Hong Kong,5344,,,,
22,Yau Tsim Mong,Ramada Hong Kong Grand,5345,,,,
23,Tai Po,"Kwong Yau House, Kwong Fuk Estate",5347,,,,
24,Tai Po,"Shin Lun House, Fu Shin Estate",5348,,,,
25,Islands,Novotel Citygate Hong Kong,5352,,,,
26,Yuen Long,Shui Lau Tin Tsuen,5354,,,,
27,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5356,,,,
28,Islands,Regal Airport Hotel,5361,,,,
29,Kowloon City,O'Hotel,5362,,,,
30,Tai Po,"Kwong Ping House, Kwong Fuk Estate",5365,,,,
31,,,,Kowloon City,Paris Garden,5371,
32,,,,Islands,"Crestmont Villa, Discovery Bay",5372,
33,,,,Yuen Long,Green Villa,5373,
34,,,,Tai Po,"Hing Wo House, Po Nga Court",5375,
35,,,,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5376,
