,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),GreenVilla,5373,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
0,Wan Chai,The Charterhouse Causeway Bay,5315,,,,
1,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5316,,,,
2,Central & Western,Ramada Hong Kong Harbour View,5317,,,,
3,Yau Tsim Mong,Ramada Hong Kong Grand,5318,,,,
4,Eastern,10-16 Ching Wah Street,5321,,,,
5,Wan Chai,The Charterhouse Causeway Bay,5326,,,,
6,Islands,Novotel Citygate Hong Kong,5328,,,,
7,Sha Tin,Kai Yuen Building,5331,,,,
8,Yau Tsim Mong,Oriental Lander Hotel,5331,,,,
9,Islands,Seaview Holiday Resort,5332,,,,
10,Tai Po,Wai Tau Tsuen,5332,,,,
11,Tai Po,"Kwong Yee House, Kwong Fuk Estate",5336,,,,
12,Tai Po,Wai Tau Tsuen,5337,,,,
13,Tai Po,"Shin Lun House, Fu Shin Estate",5338,,,,
14,Eastern,Harbour Grand Hong Kong,5340,,,,
15,Eastern,Harbour Grand Hong Kong,5341,,,,
16,Tai Po,Wai Tau Tsuen,5342,,,,
17,Wan Chai,Yan Wo Yuet Building,5343,,,,
18,Yau Tsim Mong,Silka Seaview Hotel Hong Kong,5344,,,,
19,Yau Tsim Mong,Ramada Hong Kong Grand,5345,,,,
20,Tai Po,"Kwong Yau House, Kwong Fuk Estate",5347,,,,
21,Tai Po,"Shin Lun House, Fu Shin Estate",5348,,,,
22,Islands,Novotel Citygate Hong Kong,5352,,,,
23,Yuen Long,Shui Lau Tin Tsuen,5354,,,,
24,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5356,,,,
25,Islands,Regal Airport Hotel,5361,,,,
26,Kowloon City,O'Hotel,5362,,,,
27,Tai Po,"Kwong Ping House, Kwong Fuk Estate",5365,,,,
28,Kowloon City,Paris Garden,5367,,,,
29,Kowloon City,Paris Garden,5371,,,,
30,Islands,"Crestmont Villa, Discovery Bay",5372,,,,
31,,,,Tai Po,"Hing Wo House, Po Nga Court",5375,
32,,,,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5376,
33,,,,Islands,"Tower 3, The Visionary",5377,
34,,,,Yau Tsim Mong,"Kowloon Shangri-La, Hong Kong",5379,
35,,,,Islands,Hong Kong SkyCity Marriott Hotel,5380,
36,,,,Tai Po,"Hing Wo House, Po Nga Court",5382,
37,,,,Sha Tin,"Golden Comfort Court, Phase 2, Golden Lion Garden",5384,
38,,,,Islands,"Tower 3, the Visionary",5388,
39,,,,Islands,"Tower 3, the Visionary",5389,
40,,,,Islands,"Tower 3, the Visionary",5390,
41,,,,Kwai Tsing,"Block 9, Kwai Shing West Estate",5391,
42,,,,Islands,Hong Kong Skycity Marriott Hotel,5393,
43,,,,Islands,Headland Hotel,5396,
44,,,,Tuen Mun,"Ming Wai Building, 18 Tuen Mun Heung Sze Wui Road",5398,
45,,,,Tsuen Wan,"Tower 7, Parc City",5399,
46,,,,Kowloon City,"Tower 1, The Metropolis Residence",5405,
47,,,,Yau Tsim Mong,The Kimberley Hotel,5408,
48,,,,Sham Shui Po,"Hoi Fai House, Hoi Lai Estate",5409,
49,,,,Yuen Long,Pok Wai Tsuen,5417,
50,,,,Sha Tin,"Block 6, Jubilee Garden",5418,
51,,,,Central & Western,"Tsui King Court, Sai Ying Pun",5419,
52,,,,North,On Shing Court,5420,
53,,,,Central & Western,One Eight One Hotel & Serviced Residences,5421,
54,,,,Islands,Hong Kong Skycity Marriott Hotel,5425,
55,,,,Wan Chai,Crowne Plaza Hong Kong Causeway Bay,5426,
56,,,,Tsuen Wan,"Block 8, Hong Kong Garden",5427,
57,,,,Wan Chai,Renaissance Harbour View Hotel,5429,
58,,,,Tai Po,"Block 18, Phase 5, Tai Po Centre",5432,
59,,,,Yau Tsim Mong,Tak Fung Building,5433,
60,,,,Eastern,"Tai Woo Mansion, Taikoo Shing",5435,
61,,,,Sham Shui Po,"Hoi Fai House, Hoi Lai Estate",5436,
62,,,,Yau Tsim Mong,Best Western Plus Hotel Kowloon,5437,
63,Central & Western,Siu Ying Commercial Building,"5293, 5312",,,,23/10/2020
64,Yau Tsim Mong,Mong Kok Police Station,5331,,,,30/10/2020
65,Tai Po,Merit Place Asahi Kawa Japanese Casual Restaurant,5336,,,,30/10/2020
66,Tai Po,Kwong Fuk Commercial Centre Café de Coral,5336,,,,30/10/2020
67,Tai Po,Ting Kok Road 同信士多,5337,,,,30/10/2020
68,North,3 Luen Hing Street Forever Tea,5337,,,,30/10/2020
69,Kwai Tsing,Hong Kong Institute of Vocational Education (Tsing Yi),5342,,,,30/10/2020
70,Tai Po,Kwong Fuk Road 三不館 車仔麵,5336,,,,31/10/2020
71,Wong Tai Sin,182-188 Junction Road Eat Chinese Restaurant,5337,,,,31/10/2020
72,Yuen Long,Tin Shui Wai Community Sports Ground,5354,,,,31/10/2020
73,Sha Tin,Jockey Club Kitchee Centre,5354,,,,31/10/2020
74,Yuen Long,Lam Hau Tsuen Lam Tai East Road,5354,,,,31/10/2020
75,Southern,1 Heung Yip Road,"5332, 5342",,,,31/10/2020
76,Wan Chai,Chun Hing Mansion McDonald's,5343,,,,01/11/2020
77,Sha Tin,New Town Plaza,5375,,,,01/11/2020
78,Yuen Long,112A On Ning Road,5354,,,,02/11/2020
79,Kowloon City,Hong Kong Baptist University,5398,,,,03/11/2020
80,Wong Tai Sin,Lok Fu Place Marugame Seimen,5398,,,,03/11/2020
81,Central & Western,United Centre,5417,,,,03/11/2020
82,Wong Tai Sin,Morse Park Soccer Pitch,5354,,,,04/11/2020
83,Tai Po,Wing Fat Building Sushi Tokumi,5365,,,,04/11/2020
84,Southern,One Island South,5398,,,,04/11/2020
85,Kowloon City,6 San Shan Road Yue Min Fong,5398,,,,04/11/2020
86,Tuen Mun,Lai Bo Shopping Centre,5398,,,,04/11/2020
87,Tai Po,13 Heung Sze Wui Street Wah Fai Restaurant and Cake Shop,5365,,,,05/11/2020
88,Yau Tsim Mong,Block 17 Charming Garden,5382,,,,05/11/2020
89,Kowloon City,Festival Walk On-Yasai,5382,,,,05/11/2020
90,Kowloon City,EDB Kowloon Tong Education Services Center,5382,,,,05/11/2020
91,Sham Shui Po,Pei Ho Street Sports Centre,5398,,,,05/11/2020
92,Yau Tsim Mong,Argyle Centre Phase 1,5398,,,,05/11/2020
93,Eastern,Hyatt Centric Victoria Harbour Hong Kong,5398,,,,05/11/2020
94,Sai Kung,Tai Mong Tsai Road Beach Pub,5399,,,,05/11/2020
95,Kowloon City,South Wall Road Chong Fat Chiu Chow Restaurant,5399,,,,05/11/2020
96,Sha Tin,Sha Tin Fun City Steak Expert,5382,,,,06/11/2020
97,Wan Chai,Kin Lee Building,5384,,,,06/11/2020
98,Tsuen Wan,Citywalk Mixian Sense,5399,,,,06/11/2020
99,Tsuen Wan,Citywalk Mak's Noodle,5399,,,,06/11/2020
100,Tsuen Wan,Tsuen Wan Plaza Super Star Chinese Cuisine,5399,,,,06/11/2020
101,Sham Shui Po,Hoi Lai Shopping Centre,5436,,,,06/11/2020
102,Sham Shui Po,Hoi Lai Shopping Centre 喜兆年酒家,5436,,,,06/11/2020
103,Wan Chai,Everbright Centre,"5375, 5384",,,,06/11/2020
104,Sha Tin,New Town Plaza Phase I Tristar Kitchen,"5375, 5382",,,,06/11/2020
105,Islands,Citygate,"5388, 5389",,,,06/11/2020
106,Wan Chai,Haywood Mansion,5371,,,,07/11/2020
107,Central & Western,Meng Wah Complex The University of Hong Kong,5382,,,,07/11/2020
108,Central & Western,Chong Yuet Ming Amenities Centre The University of Hong Kong Café 330,5382,,,,07/11/2020
109,Sha Tin,M.C. BOX Lung Heng Market,5384,,,,07/11/2020
110,Islands,Inspiration Lake Children's Playground,5388,,,,07/11/2020
111,Tuen Mun,14 Yan Oi Tong Circuit,5398,,,,07/11/2020
112,Yau Tsim Mong,MOKO Pak Loh Chiu Chow Restaurant,5419,,,,07/11/2020
113,Central & Western,22-32 Po Fu Lam Road 鴻興茶餐廳,5419,,,,07/11/2020
114,Yau Tsim Mong,85-87 Ivy Street Golden Sand Restaurant,5427,,,,07/11/2020
115,Yau Tsim Mong,West9zone,5427,,,,07/11/2020
116,Tai Po,Fortune Plaza Julimount Restaurant,5432,,,,07/11/2020
117,Kowloon City,Comfort Court Tak Cheong Noodle,"5367, 5371",,,,07/11/2020
118,Sha Tin,SKH Holy Spirit Primary School,"5375, 5382",,,,07/11/2020
119,Wan Chai,178-186 Johnston Road McDonald's,5384,,,,08/11/2020
120,Yau Tsim Mong,Wu Sang House Gold Garden Restaurant,5391,,,,08/11/2020
121,Yau Tsim Mong,Langham Place McDonald's,5391,,,,08/11/2020
122,Tuen Mun,8 Ming Ngai Street Tuen Mun Miu Fat Chai,5398,,,,08/11/2020
123,Sha Tin,Man Wo House Wo Che Estate,5418,,,,08/11/2020
124,Yau Tsim Mong,141 Prince Edward Road West Yuen Long Bistro,5427,,,,08/11/2020
125,Tai Po,Tai Po Plaza Sushi Express,5432,,,,08/11/2020
126,Tai Po,Fourtune Plaza 咪走雞燒 味至尊小廚,5432,,,,08/11/2020
127,Yau Tsim Mong,56 Larch Street Hung Cheong Café,5433,,,,08/11/2020
128,Yau Tsim Mong,Sun Hon House,5433,,,,08/11/2020
129,Tsuen Wan,L'hotel Nina et Convention Centre Ru Chinese Restaurant,5399,,,,09/11/2020
130,Sha Tin,Kings Wing Plaza 1 台豐 台灣美食,5399,,,,09/11/2020
131,Sha Tin,Kings Wing Plaza 1 狀元 橋米線,5399,,,,09/11/2020
132,Sha Tin,Kings Wing Plaza 1 麗島 小廚,5399,,,,09/11/2020
133,Kwun Tong,Sino Industrial Plaza 祥和 食堂,5427,,,,09/11/2020
134,Tuen Mun,Richland Garden Shopping Arcade 小桃園餐廳小廚,5427,,,,09/11/2020
135,Kwai Tsing,Kwai Chung Shopping Centre,5427,,,,09/11/2020
136,Sha Tin,Chuen Fai Centre 裕發粉 麵茶餐廳,5432,,,,09/11/2020
137,Sha Tin,University Health Centre The Chinese University of Hong Kong,5432,,,,09/11/2020
138,Sha Tin,Li Ping Medical Library The Chinese University of Hong Kong,5432,,,,09/11/2020
139,Wan Chai,Windsor House Genki Sushi,5435,,,,09/11/2020
140,Sha Tin,Grandtech Centre,5399,,,,10/11/2020
141,Sha Tin,New Trade Plaza 永興食 堂,5399,,,,10/11/2020
142,Kwai Tsing,Kwong Fai Building 雲貴 軒米線專門店,5427,,,,10/11/2020
143,Kwai Tsing,Kwai Chung Shopping Centre Market,5427,,,,10/11/2020
144,Tai Po,Tai Po Plaza,5432,,,,10/11/2020
145,Kowloon City,Heep Yunn School,5435,,,,10/11/2020
146,Kowloon City,34E Tam Kung Road Sugar Taste Café,5435,,,,10/11/2020
147,Sham Shui Po,Pei Ho Street Municipal Services Building Cooked Food Centre,5436,,,,10/11/2020
148,Wan Chai,Hysan Place,5426,,,,11/11/2020
149,Kwun Tong,Sino Industrial Plaza 信和 食堂,5427,,,,11/11/2020
150,Kwun Tong,E-Max,5427,,,,11/11/2020
151,Kwun Tong,E-Max Taiwan Kitchen,5427,,,,11/11/2020
152,Yau Tsim Mong,Park Summit Shopping Centre Jade Palace Chinese Restaurant,5433,,,,11/11/2020
