,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),"HingWoHouse,PoNgaCourt",5382,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
0,Wan Chai,The Charterhouse Causeway Bay,5326,,,,
1,Islands,Novotel Citygate Hong Kong,5328,,,,
2,Sha Tin,Kai Yuen Building,5331,,,,
3,Yau Tsim Mong,Oriental Lander Hotel,5331,,,,
4,Tai Po,"Wai Tau Tsuen, Tai Po",5332,,,,
5,Tai Po,"Kwong Yee House, Kwong Fuk Estate",5336,,,,
6,Tai Po,Wai Tau Tsuen,5337,,,,
7,Tai Po,"Shin Lun House, Fu Shin Estate",5338,,,,
8,Eastern,Harbour Grand Hong Kong,5340,,,,
9,Eastern,Harbour Grand Hong Kong,5341,,,,
10,Tai Po,Wai Tau Tsuen,5342,,,,
11,Wan Chai,Yan Wo Yuet Building,5343,,,,
12,Yau Tsim Mong,Silka Seaview Hotel Hong Kong,5344,,,,
13,Yau Tsim Mong,Ramada Hong Kong Grand,5345,,,,
14,Tai Po,"Kwong Yau House, Kwong Fuk Estate",5347,,,,
15,Tai Po,"Shin Lun House, Fu Shin Estate",5348,,,,
16,Islands,Novotel Citygate Hong Kong,5352,,,,
17,Yuen Long,Shui Lau Tin Tsuen,5354,,,,
18,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5356,,,,
19,Islands,Regal Airport Hotel,5361,,,,
20,Kowloon City,O'Hotel,5362,,,,
21,Tai Po,"Kwong Ping House, Kwong Fuk Estate",5365,,,,
22,Kowloon City,Paris Garden,5367,,,,
23,Kowloon City,Paris Garden,5371,,,,
24,Islands,"Crestmont Villa, Discovery Bay",5372,,,,
25,Yuen Long,Green Villa,5373,,,,
26,Tai Po,"Hing Wo House, Po Nga Court",5375,,,,
27,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,5376,,,,
28,Islands,"Tower 3, The Visionary",5377,,,,
29,Yau Tsim Mong,"Kowloon Shangri-La, Hong Kong",5379,,,,
30,Islands,Hong Kong Skycity Marriott Hotel,5380,,,,
31,,,,Sha Tin,"Golden Comfort Court, Phase 2, Golden Lion Garden",5384,
32,,,,Islands,"Tower 3, the Visionary",5388,
33,,,,Islands,"Tower 3, the Visionary",5389,
34,,,,Islands,"Tower 3, the Visionary",5390,
35,,,,Kwai Tsing,"Block 9, Kwai Shing West Estate",5391,
36,,,,Islands,Hong Kong Skycity Marriott Hotel,5393,
37,,,,Islands,Headland Hotel,5396,
38,,,,Tuen Mun,Ming Wai Building,5398,
39,,,,Tsuen Wan,"Tower 7, Parc City",5399,
40,,,,Kowloon City,"Tower 1, The Metropolis Residence",5405,
41,,,,Yau Tsim Mong,The Kimberley Hotel,5408,
42,,,,Sham Shui Po,"Hoi Fai House, Hoi Lai Estate",5409,
43,,,,Yuen Long,Pok Wai Tsuen,5417,
44,,,,Sha Tin,"Block 6, Jubilee Garden",5418,
45,,,,Central & Western,Tsui King Court,5419,
46,,,,North,On Shing Court,5420,
47,,,,Central & Western,One Eight One Hotel & Serviced Residences,5421,
48,,,,Islands,Hong Kong SkyCity Marriott Hotel,5425,
49,,,,Wan Chai,Crowne Plaza Hong Kong Causeway Bay,5426,
50,,,,Tsuen Wan,"Block 8, Hong Kong Garden",5427,
51,,,,Wan Chai,Renaissance Harbour View Hotel,5429,
52,,,,Tai Po,"Block 18, Phase 5, Tai Po Centre",5432,
53,,,,Yau Tsim Mong,Tak Fung Building,5433,
54,,,,Eastern,"Tai Woo Mansion, Taikoo Shing",5435,
55,,,,Sham Shui Po,"Hoi Fai House, Hoi Lai Estate",5436,
56,,,,Yau Tsim Mong,Best Western Plus Hotel Kowloon,5437,
57,,,,Wong Tai Sin,"Hong Yun House, Tsz Hong Estate",5439,
58,,,,Tai Po,"Kwong Yan House, Kwong Fuk Estate",5440,
59,,,,Sha Tin,"Shing Wai House, Sun Tin Wai Estate",5446,
60,,,,Southern,"Tower 9, Larvotto",5451,
61,,,,Central & Western,Shama Hollywood Hong Kong,5454,
62,,,,Wong Tai Sin,"Hong Yun House, Tsz Hong Estate",5455,
63,,,,Wong Tai Sin,"Hong Yun House, Tsz Hong Estate",5456,
