,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Eastern,Kiu Fai Mansion,7450,
1,Kwun Tong,"On Wah House, Lok Wah South Estate",7451,
2,Kwai Tsing,"Lai Shek House, Shek Yam Estate",7452,
3,Kwun Tong,"Tao Nga House, Hong Nga Court",7453,
4,Kwun Tong,"Tao Nga House, Hong Nga Court",7454,
5,Sha Tin,"San Shek House, Shek Mun Estate",7455,
6,Sai Kung,"Block 5, Beverly Garden",7456,
7,Eastern,Bayview Park,7457,
8,Kwai Tsing,"Block E, New Kwai Fong Gardens",7458,
9,Eastern,"Tower 1, Greenwood Terrace",7459,
10,Kwai Tsing,"Wang Sin House, Cheung Wang Estate",7460,
11,Kwai Tsing,"Wang Sin House, Cheung Wang Estate",7461,
12,Central & Western,Garfield Mansion,7462,
13,Kwun Tong,"Man On House, Wo Lok Estate",7463,
14,Eastern,"Block 7, Fullview Garden",7464,
15,Central & Western,"Block D, Phase 2, Kwan Yick Building",7465,
16,Southern,Yen Shing Mansion,7466,
17,Wan Chai,Hang Po Building,7467,
18,Kwai Tsing,"Block 8, Kwai Shing West Estate",7468,
19,Sham Shui Po,"Hoi Yin House , Hoi Lai Estate",7469,
20,Kwai Tsing,"Block 8, Kwai Shing West Estate",7470,
21,Tai Po,Kwong On Building,7471,
22,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,7472,
23,Kwun Tong,"Lei Ye House, Lei Yue Mun Estate",7473,
24,Yuen Long,"Sau Ping House, Long Ping Estate",7474,
25,Yau Tsim Mong,"Silka Seaview Hotel, Hong Kong",7475,
26,Wong Tai Sin,"Block 1, San Po Kong Plaza",7475,
27,Sham Shui Po,"14 Broadway, Stage 1, Mei Foo Sun Chuen",7476,
28,Kwun Tong,"Block 16, Sceneway Garden",7477,
29,Kwun Tong,"Ping Shing House, Ping Tin Estate",7478,
30,Yau Tsim Mong,"Block A, Harbourfront Horizon",7480,
31,Kwai Tsing,"Block 2, Kwai Chung Plaza",7481,
32,Sham Shui Po,Un Chau Street Cheung Fat Mansion,7482,
33,Sham Shui Po,Shing To Building,7483,
34,Sai Kung,"Kwong Yin House, Kwong Ming Court",7486,
35,Kwai Tsing,"On Mei House, Cheung On Estate",7488,
36,Sham Shui Po,"Cherry House, So Uk Estate",7489,
37,Sha Tin,"Block 10, Royal Ascot",7490,
38,Kwai Tsing,"Block 6, Kwai Shing West Estate",7491,
39,Central & Western,Welland Building,7492,
40,Wan Chai,96-98 Queen's Road East,7493,
41,Central & Western,77-81A Hollywood Road,7494,
42,Central & Western,77-81A Hollywood Road,7495,
43,Yau Tsim Mong,Lee Tai Building,7496,
44,Kwun Tong,"Yun Mei House, Yau Mei Court",7497,
45,Tai Po,"Ming Yan House, Ming Nga Court",7498,
46,Sham Shui Po,"Mei Shing House, Shek Kip Mei Estate",7499,
47,Sham Shui Po,High One,7500,
48,Central & Western,"On Lok Building, Tai On Terrace",7501,
49,Sham Shui Po,Chi Fai Court,7502,
50,Sha Tin,"Hin Pui House, Hin Keng Estate",7503,
51,Sha Tin,"Oak House, Kwong Yuen Estate",7504,
52,Sha Tin,"Oak House, Kwong Yuen Estate",7505,
53,Islands,"Block 5, Seaview Crescent",7506,
54,Tuen Mun,"Block A, Greenland Garden",7507,
55,Yuen Long,"Tower 2, Residence 88",7508,
56,Kwun Tong,"Block 6, Richland Gardens",7510,
57,Kwun Tong,"Block 6, Richland Gardens",7511,
58,Kwun Tong,"Block 6, Richland Gardens",7512,
59,Sha Tin,"Yu Moon House, Yu Chui Court",7513,
60,Sha Tin,"Yuet Chuen House, Shui Chuen O Estate",7514,
61,Kwun Tong,"Block 6, Richland Gardens",7515,
62,Yau Tsim Mong,Kensington Plaza,7516,
63,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",7517,
64,Wong Tai Sin,"Fu Yan House, Fu Shan Estate",7518,
65,Eastern,King Tsui Court,7519,
66,Tsuen Wan,"Fu Pik House, Tai Wo Hau Estate",7520,
67,Yau Tsim Mong,Shun Hing Building,7521,
68,Sha Tin,"Tower 1, Park Belvedere",7523,
69,Sha Tin,"Heng Shan House, Heng On Estate",7524,
70,Sha Tin,"Heng Shan House, Heng On Estate",7525,
71,Yuen Long,Sheung Yau Tin Tsuen,7526,
72,Wong Tai Sin,"Ming Lai House, Choi Wan (II) Estate",7527,
73,Sham Shui Po,"Tower 5, The Pacifica",7528,
74,Sha Tin,Chek Nai Ping Village,7529,
75,Kwun Tong,Hopewell House,7530,
76,Sha Tin,"Heng Shan House, Heng On Estate",7531,
77,Southern,"Wah Kin House, Wah Fu Estate",7532,
78,Yuen Long,"Ching Wan House, Tin Ching Estate",7533,
79,Kwai Tsing,"Block 3, Lai King Disciplined Services Quarters",7534,
80,Kwun Tong,"Cheung Pak House (block C), Hong Pak Court",7534,
81,Kwai Tsing,"Block 3, Greenfield Garden",7535,
82,Yau Tsim Mong,Cheung Fai Mansion,7536,
83,Tai Po,"Lai Wo House, Tai Wo Estate",7537,
84,Tai Po,"Tai Ling House, Tai Yuen Estate",7538,
85,Kwun Tong,"Kwong Ngar House, Kwong Tin Estate",7539,
86,Kwai Tsing,"Shek On House, Shek Lei (I) Estate",7539,
87,Sham Shui Po,"Gladiolus House, So Uk Estate",7540,
88,Tuen Mun,"High Block, Oi Yee House, Yau Oi Estate",7541,
89,Central & Western,Hau Fook Building,7542,
90,Yuen Long,"Heng Wan House, Tin Heng Estate",7545,
91,Tuen Mun,"Block 1, Hong Lai Garden",7546,
92,Tsuen Wan,"Block 6, Bellagio",7547,
93,Kwun Tong,"Wo Tai House, On Tai Estate",7548,
94,Tsuen Wan,"Block 2, Phase 1, Sea Crest Villa",7549,
95,Tuen Mun,"Block C, Greenland Garden",7550,
96,Yuen Long,"Yat Hoi House, Tin Yat Estate",7551,
97,Islands,"Mun Yat House, Yat Tung (II) Estate",7552,
98,North,"Block 4, Dawning Views",7553,
99,Sai Kung,Tseng Lan Shue Tsuen,7554,
100,Kwun Tong,"Block 2, Lotus Tower, Kwun Tong Garden Estate",7555,
101,Yau Tsim Mong,42 Tung Choi Street,7556,
102,Yuen Long,"Ping Yin House, Ping Yan Court",7557,
103,Kwai Tsing,"Block E, New Kwai Fong Gardens",7558,
104,Yau Tsim Mong,"Hoi Wen House, Hoi Fu Court",7559,
105,Kowloon City,1C Mok Cheong Street,7560,
106,Kwai Tsing,"Block E, New Kwai Fong Gardens",7561,
107,Sha Tin,"Kam Ying House, Kam Tai Court",7562,
108,Sham Shui Po,Pei Ho Building,7563,
109,Kwun Tong,"Tai On House, Wo Lok Estate",7564,
110,Central & Western,Robinson Crest,7565,
111,Tuen Mun,"Ting Fuk House, On Ting Estate",7566,
112,Eastern,"Sui Fuk House, Siu Sai Wan Estate",7567,
113,Tai Po,"Block E, Plover Cove Garden",7568,
114,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",7569,
115,Kwai Tsing,"Block 6, Mayfair Gardens",7570,
116,Central & Western,"On Lok Building, Tai On Terrace",7571,
117,Kwun Tong,"On Kin House, On Tin Estate",7572,
118,Yau Tsim Mong,Greenery Court,7573,
119,Yuen Long,"Tower 7, Park Royale",7574,
120,Sham Shui Po,Chi Fai Court,7575,
121,Sham Shui Po,Chi Fai Court,7576,
122,Central & Western,"Block D, Phase 2, Kwan Yick Building",7578,
123,Kwun Tong,"On Kin House, On Tin Estate",7579,
124,Central & Western,Welland Building,7580,
125,Central & Western,"Block D, Phase 2, Kwan Yick Building",7581,
126,Sha Tin,"King Wo House, Wo Che Estate",7583,
127,Wong Tai Sin,"Wang Hong House, Lok Fu Estate",7584,
128,Tai Po,"Tai Ling House, Tai Yuen Estate",7585,
129,Wong Tai Sin,"Kwai Tung House, Tung Tau (II) Estate",7586,
130,Wong Tai Sin,Lung Chi Path,7587,
131,Kowloon City,Kiu Yu Mansion,7588,
132,Kwai Tsing,"Chau Kwai House, Kwai Chung Estate",7589,
133,Sham Shui Po,"Mei Shing House, Shek Kip Mei Estate",7590,
134,Wong Tai Sin,"On Hong House, Tsz On Court",7591,
135,Tuen Mun,"Hing Ping House, Tai Hing Estate",7592,
136,Wong Tai Sin,"Kwai Tung House, Tung Tau (II) Estate",7593,
137,Kwun Tong,"Yat Lai House, Yau Lai Estate",7594,
138,Yau Tsim Mong,"Tower 1, The Metropolis Residence",7595,
139,Tai Po,Fung Nin Building,7595,
140,Kwun Tong,"Nga Lai House, Yau Lai Estate",7596,
141,Sha Tin,"Kam Lei House, Kam Fung Court",7597,
142,Sham Shui Po,Wah Tang Building,7598,
143,Wong Tai Sin,"Sau Man House, Choi Wan (I) Estate",7599,
144,Wong Tai Sin,"On Hong House, Tsz On Court",7600,
145,Sha Tin,"Fook Hoi House, Lek Yuen Estate",7601,
146,Sham Shui Po,Chi Fai Court,7602,
147,Kwai Tsing,"Shek Kwong House, Shek Lei (II) Estate",7603,
148,Sha Tin,"Kam Ling House, Kam Fung Court",7604,
149,Tai Po,"King Yan House, King Nga Court",7605,
150,Wong Tai Sin,"Lung Shun House, Lower Wong Tai Sin Estate",7606,
151,Central & Western,Fook Sing Court,7607,
152,Sai Kung,"King Yu House, King Lam Estate",7608,
153,Wong Tai Sin,"Ching Tak House, Tsz Ching Estate",7609,
154,Kowloon City,"Block 3, Oak Mansions, Site 5, Whampoa Garden",7610,
155,Kowloon City,"Tower 12A, Laguna Verde",7611,
156,Kowloon City,"Block 3, Oak Mansions, Site 5, Whampoa Garden",7612,
157,Yuen Long,"Nga Yiu Tau, Shap Pat Heung",7613,
158,Kwun Tong,"Hiu Wo House, Hiu Lai Court",7614,
159,Kwun Tong,"Tsui Heng House ,Tsui Ping South Estate",7615,
160,Islands,"Ying Fook House, Ying Tung Tstate",7616,
161,Kwun Tong,"Hiu Wo House, Hiu Lai Court",7617,
162,Kowloon City,Regal Oriental Hotel,7618,
163,Yau Tsim Mong,The Kimberley Hotel,7619,
164,Tsuen Wan,"Hoi Ngan Mansion, Riviera Gardens",7620,
165,Sham Shui Po,41- 41A Tai Po Road,7621,
166,Kowloon City,"Hung To For The Home, 1/F, 351 Prince Edward Road West",7622,
167,Yau Tsim Mong,Greenery Court,7623,
168,Wong Tai Sin,Man Po Building,7624,
169,Sha Tin,"Richmond Tower, Sha Tin Plaza",7632,
170,Eastern,Bayview Park,7633,
171,Yau Tsim Mong,Skyway Mansion,7634,
172,Kwai Tsing,Wah Fung Garden,7635,
173,Sha Tin,"Ming Yan Lau, Jat Min Chuen",7636,
174,Kwun Tong,"Block 2, Phase 1, Laguna City",7637,
175,Kwun Tong,"Hon Pak House, Wan Hon Estate",7639,
176,North,"Wah Koon House, Wah Sum Estate",7640,
177,Sai Kung,"Block 7, Oscar By The Sea",7641,
178,Yau Tsim Mong,Cheung Fung Mansion,7642,
179,Eastern,"Hong Shui House, Hong Tung Estate",7643,
180,Tsuen Wan,"Fu Yat House, Tai Wo Hau Estate",7644,
181,Yau Tsim Mong,"Tower 1, The Metropolis Residence",7645,
182,Wong Tai Sin,"Kwai Tung House, Tung Tau (II) Estate",7646,
183,Yau Tsim Mong,Skyway Mansion,7647,
184,Wong Tai Sin,"Kwai Tung House, Tung Tau (II) Estate",7648,
185,Kwun Tong,"Block 2, Laguna City, Cha Kwo Ling",7649,
186,Yau Tsim Mong,Skyway Mansion,7650,
187,Yau Tsim Mong,"Tower 1, The Metropolis Residence",7651,
188,Yau Tsim Mong,"Tower 1, The Metropolis Residence",7652,
189,North,"Block 4, Dawning Views",7653,
